"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
6,E,1.981555e+000,3.431649e+001,2.600000e+002,3.310000e+002,68,3.963943e-001,3.272859e+002,7.200677e+001,1.765793e+001,7.758228e-001,7.875906e+001,4.867647e+000,3.206830e+000,4.824903e-001
6,F,2.622646e+000,3.431649e+001,1.760000e+002,4.830000e+002,90,4.675852e-001,3.289250e+002,6.855965e+001,2.447746e+001,8.655750e-001,9.068328e+001,5.366667e+000,3.860352e+000,4.155223e-001
6,G,2.272960e+000,3.431649e+001,1.470000e+002,4.260000e+002,78,4.735933e-001,3.137878e+002,6.331819e+001,1.863471e+001,9.205102e-001,8.222761e+001,5.461538e+000,3.933602e+000,4.161156e-001
7,B,8.450749e-001,3.431649e+001,1.780000e+002,1.090000e+002,29,3.665469e-001,3.206325e+002,5.719665e+001,1.089169e+001,6.208423e-001,6.632832e+001,3.758621e+000,3.805589e+000,4.404478e-001
7,C,1.311323e+000,3.431649e+001,2.760000e+002,1.850000e+002,45,3.620358e-001,3.018037e+002,7.039997e+001,1.839265e+001,6.930268e-001,8.384840e+001,4.111111e+000,3.561645e+000,4.934966e-001
7,D,1.690150e+000,3.431649e+001,3.930000e+002,2.580000e+002,58,3.589234e-001,3.346967e+002,7.385990e+001,1.530594e+001,6.802976e-001,8.459973e+001,4.448276e+000,3.068146e+000,4.761423e-001
7,E,1.923274e+000,3.431649e+001,1.420000e+002,3.530000e+002,66,4.410814e-001,3.490884e+002,6.415803e+001,1.810142e+001,8.169325e-001,8.214424e+001,5.348485e+000,3.774530e+000,4.374318e-001
7,F,2.214679e+000,3.431649e+001,1.850000e+002,3.470000e+002,76,4.297363e-001,3.228562e+002,5.835731e+001,1.703879e+001,7.297418e-001,6.780689e+001,4.565789e+000,3.548317e+000,4.314574e-001
7,G,1.835852e+000,3.431649e+001,1.790000e+002,2.690000e+002,63,4.086258e-001,2.926572e+002,6.255398e+001,1.431923e+001,7.476658e-001,7.142914e+001,4.269841e+000,3.679969e+000,4.056813e-001
8,B,1.078199e+000,3.431649e+001,2.460000e+002,1.390000e+002,37,3.661789e-001,2.968678e+002,5.821570e+001,1.639159e+001,6.203669e-001,6.883056e+001,3.756757e+000,3.722533e+000,4.800289e-001
8,C,1.515307e+000,3.431649e+001,2.130000e+002,2.050000e+002,52,3.610639e-001,3.447937e+002,5.813609e+001,1.149098e+001,5.850841e-001,6.461918e+001,3.942308e+000,4.078001e+000,4.565096e-001
8,D,1.194761e+000,3.431649e+001,1.800000e+002,1.980000e+002,41,4.224795e-001,3.556273e+002,5.979075e+001,1.461629e+001,6.636754e-001,7.382929e+001,4.829268e+000,3.634218e+000,4.528933e-001
8,E,1.661009e+000,3.431649e+001,2.000000e+002,3.530000e+002,57,4.489930e-001,3.789664e+002,6.137814e+001,1.445736e+001,8.339691e-001,7.627546e+001,6.192982e+000,3.664388e+000,4.526123e-001
8,F,2.331241e+000,3.431649e+001,1.960000e+002,4.580000e+002,80,4.622856e-001,3.324529e+002,6.051770e+001,1.387911e+001,9.071979e-001,7.686109e+001,5.725000e+000,3.434495e+000,4.217955e-001
8,G,2.243819e+000,3.431649e+001,2.140000e+002,3.110000e+002,77,4.007320e-001,3.170288e+002,5.355408e+001,1.317204e+001,6.293758e-001,5.972221e+001,4.038961e+000,3.695532e+000,4.027723e-001
9,B,1.602728e+000,3.431649e+001,2.010000e+002,1.860000e+002,55,3.319410e-001,3.431824e+002,6.476452e+001,1.289632e+001,5.152001e-001,6.965068e+001,3.381818e+000,3.732956e+000,4.354855e-001
9,C,1.544447e+000,3.431649e+001,2.300000e+002,1.900000e+002,53,3.554759e-001,3.448013e+002,5.894530e+001,1.185117e+001,5.391482e-001,6.417818e+001,3.584906e+000,3.024979e+000,4.901394e-001
9,D,2.156398e+000,3.431649e+001,1.840000e+002,3.480000e+002,74,4.129762e-001,3.280958e+002,6.695649e+001,1.680565e+001,7.670274e-001,7.715450e+001,4.702703e+000,3.489377e+000,4.461307e-001
9,E,2.418663e+000,3.431649e+001,2.540000e+002,3.940000e+002,83,4.205796e-001,3.125213e+002,6.681718e+001,1.757269e+001,8.187244e-001,8.311198e+001,4.746988e+000,3.637607e+000,4.417439e-001
9,F,1.923274e+000,3.431649e+001,1.620000e+002,3.500000e+002,66,4.318473e-001,3.347903e+002,6.518862e+001,1.741854e+001,8.237481e-001,7.971049e+001,5.303030e+000,4.033496e+000,4.275898e-001
9,G,1.282183e+000,3.431649e+001,1.560000e+002,2.370000e+002,44,3.896973e-001,3.482101e+002,6.919223e+001,1.727025e+001,7.772129e-001,8.141864e+001,5.386364e+000,3.776601e+000,4.499300e-001
10,B,1.136480e+000,3.431649e+001,2.330000e+002,1.130000e+002,39,2.773479e-001,2.920482e+002,7.131568e+001,1.451762e+001,4.731035e-001,7.065169e+001,2.897436e+000,3.518154e+000,4.916868e-001
10,C,1.923274e+000,3.431649e+001,2.200000e+002,2.980000e+002,66,3.562862e-001,3.022616e+002,7.740498e+001,1.369980e+001,7.697535e-001,8.980826e+001,4.515152e+000,3.050315e+000,4.734063e-001
10,D,1.019918e+000,3.431649e+001,1.700000e+002,1.630000e+002,35,3.981142e-001,3.207848e+002,6.675362e+001,1.569032e+001,7.232850e-001,8.420660e+001,4.657143e+000,3.268048e+000,4.527973e-001
10,E,1.311323e+000,3.431649e+001,1.830000e+002,2.000000e+002,45,3.518676e-001,3.329984e+002,6.916980e+001,1.891544e+001,6.813670e-001,7.812388e+001,4.444444e+000,3.273595e+000,4.860435e-001
10,F,1.661009e+000,3.431649e+001,1.890000e+002,3.280000e+002,57,4.438714e-001,3.486678e+002,6.531532e+001,1.611166e+001,8.629116e-001,7.935621e+001,5.754386e+000,3.925412e+000,4.247388e-001
10,G,2.272960e+000,3.431649e+001,2.530000e+002,3.150000e+002,78,3.616480e-001,3.240986e+002,6.655913e+001,1.550658e+001,6.272193e-001,7.197997e+001,4.038462e+000,3.243555e+000,4.327461e-001
11,B,1.398745e+000,3.431649e+001,2.950000e+002,1.450000e+002,48,3.129539e-001,3.235554e+002,5.950315e+001,1.148266e+001,4.549972e-001,5.701944e+001,3.020833e+000,3.150841e+000,4.642599e-001
