"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"
11,B,2.571220e+001,1.369000e+001,8.660000e+002,7.330000e+002,352,1.425911e-001,1.166106e+002,1.654590e+002,2.965723e+001,1.088262e+000,1.765432e+002,2.082386e+000,1.500527e+000,6.850703e-001
11,C,6.742148e+001,1.369000e+001,1.214000e+003,2.298000e+003,923,1.579967e-001,1.443160e+002,1.681609e+002,2.832876e+001,1.019434e+000,1.787282e+002,2.489707e+000,1.496187e+000,6.871555e-001
11,D,9.211103e+001,1.369000e+001,1.690000e+003,2.719000e+003,1261,1.397847e-001,1.054453e+002,1.722601e+002,2.520750e+001,1.179388e+000,1.815330e+002,2.156225e+000,1.529197e+000,6.890198e-001





2
Timespan (h):, 16.4683
2,B,1.877283e+001,1.369000e+001,1.189000e+003,5.320000e+002,257,1.526984e-001,1.082524e+002,1.744751e+002,3.757475e+001,1.180591e+000,1.926110e+002,2.070039e+000,1.473104e+000,6.955239e-001
2,C,1.149744e+002,1.369000e+001,2.092000e+003,4.023000e+003,1574,1.477363e-001,1.381974e+002,1.843352e+002,2.758578e+001,1.099072e+000,1.955718e+002,2.555909e+000,1.513785e+000,6.827698e-001
2,D,5.478451e+001,1.369000e+001,1.269000e+003,1.727000e+003,750,1.458834e-001,1.175175e+002,1.866503e+002,3.297126e+001,1.164922e+000,2.006600e+002,2.302667e+000,1.504516e+000,6.936109e-001
3,B,2.081812e+001,1.369000e+001,1.217000e+003,5.730000e+002,285,1.527553e-001,1.100774e+002,1.729308e+002,3.795286e+001,1.146101e+000,1.915150e+002,2.010526e+000,1.545555e+000,6.757907e-001
3,C,1.071585e+002,1.369000e+001,1.939000e+003,3.700000e+003,1467,1.475730e-001,1.434971e+002,1.792796e+002,2.812378e+001,1.038972e+000,1.889505e+002,2.522154e+000,1.475141e+000,6.893944e-001
3,D,8.568298e+001,1.369000e+001,1.843000e+003,2.557000e+003,1173,1.438811e-001,1.042999e+002,1.836183e+002,3.085056e+001,1.216312e+000,1.944695e+002,2.179881e+000,1.537921e+000,6.874714e-001
4,B,1.453616e+001,1.369000e+001,1.131000e+003,4.030000e+002,199,1.468885e-001,1.116894e+002,1.717577e+002,2.990003e+001,1.179989e+000,1.921948e+002,2.025126e+000,1.474119e+000,6.987245e-001
4,C,6.654492e+001,1.369000e+001,1.462000e+003,2.420000e+003,911,1.441599e-001,1.511263e+002,1.762764e+002,2.638501e+001,1.022670e+000,1.813501e+002,2.656422e+000,1.486555e+000,6.812080e-001
4,D,4.353543e+001,1.369000e+001,1.169000e+003,1.402000e+003,596,1.508490e-001,1.308183e+002,1.829352e+002,3.897182e+001,1.068213e+000,2.004669e+002,2.352349e+000,1.460884e+000,7.154106e-001
5,B,2.111030e+001,1.369000e+001,1.182000e+003,6.090000e+002,289,1.450755e-001,1.209826e+002,1.772230e+002,2.750871e+001,1.063075e+000,1.835136e+002,2.107266e+000,1.530182e+000,6.853160e-001
5,C,8.341855e+001,1.369000e+001,1.851000e+003,2.700000e+003,1142,1.408511e-001,1.287165e+002,1.786092e+002,2.632953e+001,1.069981e+000,1.839647e+002,2.364273e+000,1.532781e+000,6.698272e-001
5,D,7.341125e+001,1.369000e+001,1.661000e+003,2.247000e+003,1005,1.463502e-001,1.075710e+002,1.831225e+002,3.000284e+001,1.227477e+000,1.953905e+002,2.235821e+000,1.516695e+000,6.964131e-001
6,B,1.665449e+001,1.369000e+001,1.213000e+003,4.590000e+002,228,1.502342e-001,1.170189e+002,1.707562e+002,3.703722e+001,1.049474e+000,1.814628e+002,2.013158e+000,1.484114e+000,7.077316e-001
6,C,9.050402e+001,1.369000e+001,1.945000e+003,2.953000e+003,1239,1.395758e-001,1.278415e+002,1.767485e+002,2.576000e+001,1.084609e+000,1.838212e+002,2.383374e+000,1.533426e+000,6.663388e-001
6,D,6.537619e+001,1.369000e+001,1.511000e+003,1.987000e+003,895,1.501978e-001,1.141086e+002,1.837596e+002,3.763589e+001,1.166381e+000,1.972908e+002,2.220112e+000,1.514896e+000,6.996018e-001
7,B,1.329438e+001,1.369000e+001,9.230000e+002,4.000000e+002,182,1.450198e-001,1.224605e+002,1.705175e+002,3.538666e+001,1.044953e+000,1.854901e+002,2.197802e+000,1.471935e+000,6.994025e-001
7,C,1.305332e+002,1.369000e+001,2.738000e+003,4.037000e+003,1787,1.416133e-001,1.130996e+002,1.776983e+002,2.653464e+001,1.157981e+000,1.843034e+002,2.259093e+000,1.541584e+000,6.642526e-001
7,D,1.130022e+002,1.369000e+001,2.320000e+003,3.158000e+003,1547,1.362060e-001,9.495576e+001,1.824034e+002,2.735413e+001,1.245258e+000,1.927289e+002,2.041370e+000,1.528208e+000,6.907195e-001
8,B,1.826150e+001,1.369000e+001,1.591000e+003,5.220000e+002,250,1.568500e-001,1.158728e+002,1.755302e+002,3.291891e+001,1.099861e+000,1.869378e+002,2.088000e+000,1.529322e+000,6.873295e-001
8,C,1.073776e+002,1.369000e+001,2.177000e+003,3.412000e+003,1470,1.461568e-001,1.195766e+002,1.786322e+002,2.780991e+001,1.156677e+000,1.868656e+002,2.321088e+000,1.542223e+000,6.720513e-001
8,D,1.032140e+002,1.369000e+001,2.043000e+003,3.000000e+003,1413,1.375536e-001,9.469069e+001,1.846268e+002,2.771603e+001,1.281095e+000,1.942364e+002,2.123142e+000,1.540961e+000,6.890914e-001
9,B,1.913806e+001,1.369000e+001,1.205000e+003,5.570000e+002,262,1.498665e-001,1.234840e+002,1.749277e+002,3.517527e+001,1.086549e+000,1.941066e+002,2.125954e+000,1.468022e+000,6.998092e-001
9,C,8.641344e+001,1.369000e+001,1.884000e+003,2.747000e+003,1183,1.439386e-001,1.214518e+002,1.788771e+002,2.754543e+001,1.118432e+000,1.840772e+002,2.322063e+000,1.539340e+000,6.670711e-001
9,D,5.310446e+001,1.369000e+001,1.382000e+003,1.681000e+003,727,1.458294e-001,1.202728e+002,1.848147e+002,3.770846e+001,1.140989e+000,1.976374e+002,2.312242e+000,1.506574e+000,7.028855e-001
10,B,1.753104e+001,1.369000e+001,1.224000e+003,4.520000e+002,240,1.549972e-001,9.861917e+001,1.772620e+002,3.457922e+001,1.197361e+000,1.978008e+002,1.883333e+000,1.511389e+000,6.966179e-001
10,C,9.861213e+001,1.369000e+001,2.129000e+003,3.137000e+003,1350,1.473759e-001,1.145510e+002,1.788240e+002,2.877887e+001,1.171857e+000,1.862429e+002,2.323704e+000,1.547509e+000,6.666880e-001
10,D,6.632579e+001,1.369000e+001,1.583000e+003,2.122000e+003,908,1.448774e-001,1.136890e+002,1.873154e+002,3.612185e+001,1.203734e+000,2.001484e+002,2.337004e+000,1.466446e+000,7.154962e-001
11,B,1.628926e+001,1.369000e+001,9.970000e+002,4.410000e+002,223,1.454579e-001,1.120012e+002,1.770180e+002,3.326155e+001,1.064577e+000,1.799709e+002,1.977578e+000,1.524296e+000,6.774364e-001
