"","Date","Row","Well","CellLine","Cell.Nucleus","Time","drug","conc","rep","l2","nl2"
"1","20160326","B","B02","WM164",267,0,"plx",0,1,8.06069593168755,0
"61","20160326","B","B02","WM164",264,15.9858,"plx",0,1,8.04439411935845,-0.0163018123291003
"121","20160326","B","B02","WM164",300,27.8592,"plx",0,1,8.22881869049588,0.168122758808327
"181","20160326","B","B02","WM164",446,39.1519,"plx",0,1,8.8008998999203,0.74020396823275
"241","20160326","B","B02","WM164",519,50.6911,"plx",0,1,9.01959072835788,0.958894796670327
"301","20160326","B","B02","WM164",918,63.2436,"plx",0,1,9.84235034341381,1.78165441172625
"361","20160326","B","B02","WM164",1019,70.4658,"plx",0,1,9.99293833616581,1.93224240447826
"421","20160326","B","B02","WM164",1203,74.0789,"plx",0,1,10.2324209271761,2.17172499548852
"481","20160326","B","B02","WM164",1306,74.5556,"plx",0,1,10.3509391815464,2.29024324985888
"541","20160326","B","B02","WM164",1671,88.1797,"plx",0,1,10.7064960180612,2.64580008637363
"601","20160326","B","B02","WM164",2710,99.4331,"plx",0,1,11.4040771362412,3.34338120455368
"661","20160326","B","B02","WM164",4036,113.9669,"plx",0,1,11.9787104591064,3.9180145274188
"721","20160326","B","B02","WM164",4799,121.8025,"plx",0,1,12.2285180977162,4.16782216602864
"781","20160326","B","B02","WM164",5858,137.84,"plx",0,1,12.5161924778794,4.45549654619181
"841","20160326","B","B02","WM164",6877,146.6333,"plx",0,1,12.7475636302551,4.68686769856756
"901","20160326","B","B02","WM164",8034,147.1642,"plx",0,1,12.9719027460455,4.91120681435791
"961","20160326","B","B02","WM164",11242,171.6731,"plx",0,1,13.4566110995749,5.39591516788736
"1021","20160326","B","B02","WM164",11857,187.7331,"plx",0,1,13.5334514119787,5.47275548029118
"1081","20160326","B","B02","WM164",14512,209.6194,"plx",0,2,13.8249587405285,5.76426280884097
"1141","20160326","B","B02","WM164",15896,219.9503,"plx",0,2,13.9563761572497,5.89568022556212
"1201","20160326","B","B02","WM164",14989,244.7989,"plx",0,2,13.8716165157929,5.81092058410531
"1261","20160326","B","B02","WM164",8311,245.2653,"plx",0,2,13.0208063607243,4.96011042903671
"1321","20160326","B","B02","WM164",13006,259.3764,"plx",0,2,13.6668897084403,5.6061937767527
"1381","20160326","B","B02","WM164",15289,285.2611,"plx",0,2,13.9002064276987,5.83951049601119
"1441","20160326","B","B02","WM164",14732,304.0694,"plx",0,2,13.8466656818997,5.78596975021218
"1501","20160326","B","B02","WM164",14299,335.7922,"plx",0,2,13.8036266352603,5.74293070357275
"1561","20160326","B","B02","WM164",14513,336.5042,"plx",0,2,13.8250581510396,5.76436221935201
"1621","20160326","B","B02","WM164",14964,361.2156,"plx",0,2,13.8692082505508,5.80851231886327
"1681","20160326","B","B02","WM164",12702,379.9236,"plx",0,2,13.6327680547287,5.57207212304119
"1741","20160326","B","B02","WM164",11482,432.8236,"plx",0,2,13.4870863402713,5.42639040858372
"1801","20160326","B","B02","WM164",9686,434.0431,"plx",0,2,13.2416852876016,5.18098935591407
"1861","20160326","B","B02","WM164",13619,447.2625,"plx",0,2,13.7333331542646,5.67263722257709
"1921","20160326","B","B02","WM164",8786,480.52,"plx",0,2,13.1009907840928,5.04029485240521
"1981","20160326","B","B02","WM164",10777,505.7247,"plx",0,2,13.3956680096368,5.33497207794929
"2041","20160326","B","B02","WM164",8690,530.3719,"plx",0,2,13.0851404617018,5.02444453001421
"2","20160326","C","C02","WM164",310,0,"plx",0,1,8.27612440527424,0
"62","20160326","C","C02","WM164",278,15.9858,"plx",0,1,8.11894107272351,-0.157183332550732
"122","20160326","C","C02","WM164",395,27.8592,"plx",0,1,8.62570884306447,0.349584437790227
"182","20160326","C","C02","WM164",484,39.1519,"plx",0,1,8.91886323727459,0.642738832000356
"242","20160326","C","C02","WM164",730,50.6911,"plx",0,1,9.51175265376738,1.23562824849314
"302","20160326","C","C02","WM164",994,63.2436,"plx",0,1,9.95710204156229,1.68097763628805
"362","20160326","C","C02","WM164",1151,70.4658,"plx",0,1,10.1686721181322,1.89254771285799
"422","20160326","C","C02","WM164",1438,74.0789,"plx",0,1,10.4898479604393,2.21372355516506
"482","20160326","C","C02","WM164",1540,74.5556,"plx",0,1,10.5887146355823,2.31259023030803
"542","20160326","C","C02","WM164",1917,88.1797,"plx",0,1,10.9046346216682,2.62851021639391
"602","20160326","C","C02","WM164",3070,99.4331,"plx",0,1,11.5840229402575,3.3078985349833
"662","20160326","C","C02","WM164",4481,113.9669,"plx",0,1,12.1296050111525,3.85348060587827
"722","20160326","C","C02","WM164",5628,121.8025,"plx",0,1,12.4584066132365,4.18228220796229
"782","20160326","C","C02","WM164",6636,137.84,"plx",0,1,12.6960981709559,4.41997376568163
"842","20160326","C","C02","WM164",7832,146.6333,"plx",0,1,12.9351650496037,4.65904064432946
"902","20160326","C","C02","WM164",10558,147.1642,"plx",0,1,13.3660489506706,5.08992454539639
"962","20160326","C","C02","WM164",12720,171.6731,"plx",0,1,13.6348110501717,5.35868664489748
"1022","20160326","C","C02","WM164",11639,187.7331,"plx",0,2,13.5066794895984,5.23055508432417
"1082","20160326","C","C02","WM164",12600,209.6194,"plx",0,2,13.6211361132746,5.3450117080004
"1142","20160326","C","C02","WM164",18255,219.9503,"plx",0,2,14.1560040483222,5.87987964304801
"1202","20160326","C","C02","WM164",15699,244.7989,"plx",0,2,13.9383850443359,5.66226063906163
"1262","20160326","C","C02","WM164",14932,245.2653,"plx",0,2,13.8661197933031,5.58999538802883
"1322","20160326","C","C02","WM164",15416,259.3764,"plx",0,2,13.9121408562957,5.63601645102148
"1382","20160326","C","C02","WM164",15051,285.2611,"plx",0,2,13.8775717234855,5.60144731821121
"1442","20160326","C","C02","WM164",14753,304.0694,"plx",0,2,13.8487207336875,5.57259632841329
"1502","20160326","C","C02","WM164",14443,335.7922,"plx",0,2,13.8180828195302,5.54195841425595
"1562","20160326","C","C02","WM164",15556,336.5042,"plx",0,2,13.9251835194342,5.64905911415997
"1622","20160326","C","C02","WM164",16432,361.2156,"plx",0,2,14.0042204663182,5.72809606104396
"1682","20160326","C","C02","WM164",11261,379.9236,"plx",0,2,13.4590473269482,5.18292292167398
"1742","20160326","C","C02","WM164",10708,432.8236,"plx",0,2,13.3864014236408,5.11027701836654
"1802","20160326","C","C02","WM164",11240,434.0431,"plx",0,2,13.4563544151083,5.18023000983405
"1862","20160326","C","C02","WM164",12955,447.2625,"plx",0,2,13.6612213950675,5.38509698979322
