"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,9.693207e+001,1.369000e+001,1.971000e+003,3.242000e+003,1327,1.659226e-001,1.809264e+002,1.178233e+002,2.730611e+001,7.206830e-001,1.330260e+002,2.443105e+000,1.430772e+000,7.206947e-001
2,C,1.072316e+002,1.369000e+001,1.996000e+003,3.447000e+003,1468,1.739327e-001,1.626209e+002,1.172669e+002,2.938737e+001,7.801470e-001,1.341581e+002,2.348093e+000,1.438837e+000,7.240544e-001
2,D,1.116143e+002,1.369000e+001,1.589000e+003,5.397000e+003,1528,2.485211e-001,2.044648e+002,1.346196e+002,4.733506e+001,9.352013e-001,1.630960e+002,3.532068e+000,1.422296e+000,7.487303e-001
2,E,1.111760e+002,1.369000e+001,1.575000e+003,5.230000e+003,1522,2.450764e-001,2.075310e+002,1.332959e+002,4.528947e+001,9.011911e-001,1.608128e+002,3.436268e+000,1.421632e+000,7.503350e-001
2,F,1.094960e+002,1.369000e+001,1.601000e+003,4.119000e+003,1499,2.181351e-001,1.943017e+002,1.257869e+002,3.997998e+001,7.794398e-001,1.518867e+002,2.747832e+000,1.435489e+000,7.502574e-001
2,G,8.655953e+001,1.369000e+001,1.306000e+003,3.264000e+003,1185,2.358808e-001,1.652492e+002,1.309477e+002,4.909053e+001,9.145998e-001,1.590576e+002,2.754430e+000,1.472528e+000,7.472490e-001
3,B,9.751644e+001,1.369000e+001,1.949000e+003,3.165000e+003,1335,1.665654e-001,1.704929e+002,1.162704e+002,2.722421e+001,7.421172e-001,1.311772e+002,2.370787e+000,1.441031e+000,7.260817e-001
3,C,1.002922e+002,1.369000e+001,1.938000e+003,3.197000e+003,1373,1.712409e-001,1.615462e+002,1.169721e+002,2.983068e+001,7.792339e-001,1.336592e+002,2.328478e+000,1.430171e+000,7.268547e-001
3,D,9.174580e+001,1.369000e+001,1.557000e+003,4.437000e+003,1256,2.436441e-001,2.162872e+002,1.352652e+002,4.421177e+001,8.914983e-001,1.617221e+002,3.532643e+000,1.439967e+000,7.507939e-001
3,E,1.233747e+002,1.369000e+001,1.755000e+003,5.956000e+003,1689,2.553306e-001,2.024656e+002,1.359244e+002,4.799053e+001,9.494639e-001,1.641947e+002,3.526347e+000,1.442689e+000,7.458137e-001
3,F,1.048210e+002,1.369000e+001,1.518000e+003,3.805000e+003,1435,2.287485e-001,1.674287e+002,1.292443e+002,4.657849e+001,8.701223e-001,1.565004e+002,2.651568e+000,1.471836e+000,7.497024e-001
3,G,1.111760e+002,1.369000e+001,1.583000e+003,4.177000e+003,1522,2.369628e-001,1.643257e+002,1.309560e+002,4.758199e+001,9.078480e-001,1.585408e+002,2.744415e+000,1.472436e+000,7.507012e-001
4,B,8.173850e+001,1.369000e+001,1.648000e+003,2.672000e+003,1119,1.671759e-001,1.787340e+002,1.158742e+002,2.669770e+001,7.188953e-001,1.311920e+002,2.387846e+000,1.422438e+000,7.267493e-001
