"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"
11,B,6.939372e+001,1.369000e+001,1.178000e+003,4.641000e+003,950,2.880146e-001,3.524379e+002,1.270637e+002,3.815448e+001,7.268097e-001,1.606292e+002,4.885263e+000,1.426736e+000,7.482768e-001
11,C,7.355734e+001,1.369000e+001,1.172000e+003,5.423000e+003,1007,3.151787e-001,3.151844e+002,1.339703e+002,4.917371e+001,8.889915e-001,1.685346e+002,5.385303e+000,1.463491e+000,7.530993e-001
11,D,6.311176e+001,1.369000e+001,1.011000e+003,4.666000e+003,864,3.202954e-001,3.103823e+002,1.384293e+002,5.268889e+001,9.083449e-001,1.740266e+002,5.400463e+000,1.498998e+000,7.469203e-001





2
Timespan (h):, 16.7711
2,B,3.243243e+001,1.369000e+001,6.220000e+002,1.661000e+003,444,2.091417e-001,2.693859e+002,1.135861e+002,2.525577e+001,7.309068e-001,1.340336e+002,3.740991e+000,1.375165e+000,7.278127e-001
2,C,3.710738e+001,1.369000e+001,7.380000e+002,1.897000e+003,508,1.971009e-001,2.859467e+002,1.144926e+002,2.333582e+001,6.885190e-001,1.350129e+002,3.734252e+000,1.370745e+000,7.167526e-001
2,D,3.571950e+001,1.369000e+001,6.930000e+002,1.855000e+003,489,2.123399e-001,2.613681e+002,1.159233e+002,2.667452e+001,7.630579e-001,1.370187e+002,3.793456e+000,1.394637e+000,7.302061e-001
3,B,4.061359e+001,1.369000e+001,7.110000e+002,2.023000e+003,556,2.246158e-001,2.434766e+002,1.159262e+002,3.202759e+001,7.798809e-001,1.398270e+002,3.638489e+000,1.381321e+000,7.433229e-001
3,C,4.149014e+001,1.369000e+001,9.650000e+002,2.098000e+003,568,2.288860e-001,2.592799e+002,1.181605e+002,3.064589e+001,7.514063e-001,1.422778e+002,3.693662e+000,1.416277e+000,7.335148e-001
3,D,3.849525e+001,1.369000e+001,6.800000e+002,2.043000e+003,527,2.368565e-001,2.500996e+002,1.206948e+002,3.267811e+001,8.129972e-001,1.456039e+002,3.876660e+000,1.375937e+000,7.519746e-001
4,B,4.054054e+001,1.369000e+001,6.890000e+002,2.038000e+003,555,2.302385e-001,2.518589e+002,1.171925e+002,3.172184e+001,7.703827e-001,1.418833e+002,3.672072e+000,1.358085e+000,7.506643e-001
4,C,3.389335e+001,1.369000e+001,7.070000e+002,1.635000e+003,464,1.995627e-001,2.915338e+002,1.101305e+002,2.278466e+001,6.356616e-001,1.312304e+002,3.523707e+000,1.290920e+000,7.340777e-001
4,D,4.097882e+001,1.369000e+001,6.980000e+002,2.096000e+003,561,2.377643e-001,2.328857e+002,1.199585e+002,3.561994e+001,8.405860e-001,1.452096e+002,3.736185e+000,1.366084e+000,7.532368e-001
