"","Date","Row","Well","CellLine","Cell.Nucleus","Time","drug","conc","rep","l2","nl2"
"20","20150227","C","C05","A375",206,0,"plx",8,11,7.68650052718322,0
"80","20150227","C","C05","A375",310,25.9614,"plx",8,11,8.27612440527424,0.58962387809102
"140","20150227","C","C05","A375",374,40.2572,"plx",8,11,8.54689445988764,0.860393932704419
"200","20150227","C","C05","A375",780,70.355,"plx",8,11,9.60733031374961,1.92082978656639
"260","20150227","C","C05","A375",1187,96.0494,"plx",8,11,10.2131042196419,2.52660369245869
"320","20150227","C","C05","A375",1525,120.4186,"plx",8,11,10.5745935273376,2.88809300015439
"380","20150227","C","C05","A375",1705,142.0008,"plx",8,11,10.7355560239115,3.04905549672832
"21","20150227","D","D05","A375",245,0,"plx",8,12,7.93663793900257,0
"81","20150227","D","D05","A375",272,25.9614,"plx",8,12,8.08746284125034,0.150824902247768
"141","20150227","D","D05","A375",404,40.2572,"plx",8,12,8.6582114827518,0.721573543749225
"201","20150227","D","D05","A375",862,70.355,"plx",8,12,9.7515440590891,1.81490612008653
"261","20150227","D","D05","A375",1218,96.0494,"plx",8,12,10.2502984179063,2.31366047890376
"321","20150227","D","D05","A375",1571,120.4186,"plx",8,12,10.6174674652942,2.68082952629162
"381","20150227","D","D05","A375",1866,142.0008,"plx",8,12,10.8657332708518,2.92909533184919
"25","20150227","B","B06","A375",98,0,"plx",8,13,6.61470984411521,0
"85","20150227","B","B06","A375",241,25.9614,"plx",8,13,7.91288933622996,1.29817949211475
"145","20150227","B","B06","A375",335,40.2572,"plx",8,13,8.38801728534514,1.77330744122993
"205","20150227","B","B06","A375",805,70.355,"plx",8,13,9.65284497300198,3.03813512888677
"265","20150227","B","B06","A375",996,96.0494,"plx",8,13,9.96000193206808,3.34529208795287
"325","20150227","B","B06","A375",1131,120.4186,"plx",8,13,10.1433832139898,3.52867336987461
"385","20150227","B","B06","A375",1105,142.0008,"plx",8,13,10.1098306542788,3.49512081016359
"26","20150227","C","C06","A375",175,0,"plx",8,14,7.45121111183233,0
"86","20150227","C","C06","A375",246,25.9614,"plx",8,14,7.94251450533924,0.491303393506911
"146","20150227","C","C06","A375",347,40.2572,"plx",8,14,8.43879185257826,0.987580740745932
"206","20150227","C","C06","A375",733,70.355,"plx",8,14,9.51766938813381,2.06645827630148
