"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
6,E,2.768444e+001,1.369000e+001,4.270000e+002,1.760000e+003,379,2.490829e-001,2.707229e+002,1.244152e+002,4.018494e+001,9.110354e-001,1.514572e+002,4.643799e+000,1.441522e+000,7.565715e-001
6,F,1.592403e+001,1.369000e+001,2.660000e+002,7.830000e+002,218,2.397239e-001,2.055558e+002,1.243392e+002,4.252499e+001,9.269792e-001,1.507437e+002,3.591743e+000,1.691780e+000,7.394738e-001
6,G,8.546384e+000,1.369000e+001,1.400000e+002,3.920000e+002,117,2.189178e-001,2.027644e+002,1.219868e+002,3.866853e+001,8.764226e-001,1.479487e+002,3.350427e+000,1.607479e+000,7.519465e-001
7,B,3.440467e+001,1.369000e+001,7.240000e+002,1.450000e+003,471,1.998993e-001,2.133989e+002,1.121055e+002,3.052538e+001,7.592385e-001,1.331745e+002,3.078556e+000,1.471373e+000,7.360623e-001
7,C,2.746530e+001,1.369000e+001,6.090000e+002,1.215000e+003,376,2.040535e-001,2.181347e+002,1.130082e+002,2.997142e+001,7.792364e-001,1.329914e+002,3.231383e+000,1.492620e+000,7.252740e-001
7,D,2.344777e+001,1.369000e+001,3.560000e+002,1.587000e+003,321,2.595082e-001,2.681637e+002,1.273642e+002,4.019519e+001,9.770475e-001,1.541546e+002,4.943925e+000,1.438752e+000,7.678372e-001
7,E,3.520818e+001,1.369000e+001,5.530000e+002,2.092000e+003,482,2.418063e-001,2.609763e+002,1.234678e+002,3.999309e+001,8.770091e-001,1.506254e+002,4.340249e+000,1.440428e+000,7.600514e-001
7,F,1.168736e+001,1.369000e+001,2.610000e+002,5.750000e+002,160,2.447479e-001,2.210510e+002,1.220200e+002,4.483319e+001,8.698348e-001,1.495993e+002,3.593750e+000,1.659040e+000,7.387376e-001
7,G,9.642075e+000,1.369000e+001,1.710000e+002,4.990000e+002,132,2.354240e-001,2.004145e+002,1.248940e+002,3.906493e+001,9.949212e-001,1.499261e+002,3.780303e+000,1.734118e+000,7.393658e-001
8,B,3.345508e+001,1.369000e+001,8.920000e+002,1.313000e+003,458,1.900467e-001,2.213648e+002,1.108169e+002,2.765223e+001,6.882546e-001,1.302929e+002,2.866812e+000,1.476984e+000,7.225054e-001
8,C,3.075237e+001,1.369000e+001,6.210000e+002,1.249000e+003,421,2.043583e-001,2.141586e+002,1.125281e+002,3.125673e+001,7.385679e-001,1.339256e+002,2.966746e+000,1.440770e+000,7.392353e-001
8,D,3.126370e+001,1.369000e+001,4.620000e+002,1.877000e+003,428,2.545923e-001,2.540061e+002,1.246361e+002,4.203624e+001,9.043569e-001,1.533086e+002,4.385514e+000,1.425998e+000,7.764613e-001
8,E,4.470416e+001,1.369000e+001,6.770000e+002,2.841000e+003,612,2.597172e-001,2.550728e+002,1.263863e+002,4.160829e+001,9.517827e-001,1.540929e+002,4.642157e+000,1.422305e+000,7.752894e-001
8,F,7.888970e+000,1.369000e+001,1.790000e+002,4.270000e+002,108,2.390750e-001,2.046666e+002,1.268023e+002,3.985834e+001,1.015466e+000,1.522675e+002,3.953704e+000,1.738285e+000,7.464006e-001
8,G,9.861213e+000,1.369000e+001,1.760000e+002,4.840000e+002,135,2.385891e-001,1.928545e+002,1.239924e+002,4.161396e+001,9.795858e-001,1.499113e+002,3.585185e+000,1.639771e+000,7.575445e-001
9,B,3.199416e+001,1.369000e+001,8.800000e+002,1.315000e+003,438,1.930724e-001,2.181535e+002,1.112750e+002,2.814982e+001,7.194248e-001,1.313597e+002,3.002283e+000,1.486371e+000,7.346566e-001
9,C,2.878013e+001,1.369000e+001,6.420000e+002,1.171000e+003,394,1.923717e-001,2.148985e+002,1.113571e+002,2.909624e+001,7.338696e-001,1.315056e+002,2.972081e+000,1.458825e+000,7.323232e-001
9,D,4.696859e+001,1.369000e+001,7.190000e+002,2.813000e+003,643,2.565383e-001,2.484598e+002,1.252683e+002,4.188123e+001,9.270097e-001,1.530881e+002,4.374806e+000,1.419316e+000,7.736207e-001
9,E,2.542001e+001,1.369000e+001,4.080000e+002,1.594000e+003,348,2.616325e-001,2.693517e+002,1.276508e+002,4.316332e+001,9.054726e-001,1.562819e+002,4.580460e+000,1.446023e+000,7.637335e-001
9,F,1.183346e+001,1.369000e+001,1.970000e+002,6.030000e+002,162,2.430902e-001,2.040187e+002,1.259491e+002,4.235236e+001,9.680182e-001,1.521811e+002,3.722222e+000,1.591344e+000,7.622438e-001
9,G,1.008035e+001,1.369000e+001,1.950000e+002,5.050000e+002,138,2.379216e-001,2.118143e+002,1.240176e+002,4.072690e+001,9.237065e-001,1.486916e+002,3.659420e+000,1.620068e+000,7.449719e-001
10,B,3.221329e+001,1.369000e+001,6.410000e+002,1.321000e+003,441,1.992519e-001,2.146315e+002,1.109856e+002,2.983762e+001,7.342655e-001,1.323387e+002,2.995465e+000,1.434646e+000,7.434660e-001
10,C,3.053324e+001,1.369000e+001,7.660000e+002,1.319000e+003,418,2.079807e-001,2.090153e+002,1.131621e+002,3.221503e+001,7.897894e-001,1.353811e+002,3.155502e+000,1.489158e+000,7.353404e-001
10,D,3.199416e+001,1.369000e+001,4.910000e+002,1.967000e+003,438,2.534653e-001,2.560606e+002,1.235630e+002,3.913468e+001,9.264249e-001,1.502620e+002,4.490868e+000,1.446838e+000,7.613694e-001
10,E,2.490869e+001,1.369000e+001,4.190000e+002,1.550000e+003,341,2.485343e-001,2.652342e+002,1.240493e+002,3.924448e+001,8.973671e-001,1.505197e+002,4.545455e+000,1.423016e+000,7.621937e-001
10,F,1.307524e+001,1.369000e+001,2.090000e+002,6.970000e+002,179,2.423927e-001,2.065384e+002,1.258293e+002,4.370772e+001,9.856888e-001,1.525975e+002,3.893855e+000,1.640703e+000,7.595931e-001
10,G,7.231556e+000,1.369000e+001,1.150000e+002,3.600000e+002,99,2.478594e-001,2.071731e+002,1.248723e+002,4.448986e+001,9.161385e-001,1.517987e+002,3.636364e+000,1.570261e+000,7.675235e-001
11,B,3.272462e+001,1.369000e+001,6.440000e+002,1.251000e+003,448,2.021426e-001,2.066290e+002,1.107069e+002,3.147452e+001,7.092053e-001,1.330925e+002,2.792411e+000,1.414688e+000,7.449915e-001
11,C,2.870709e+001,1.369000e+001,5.660000e+002,1.183000e+003,393,2.136626e-001,2.143583e+002,1.122910e+002,3.254195e+001,7.446370e-001,1.347430e+002,3.010178e+000,1.450479e+000,7.420382e-001
11,D,3.046019e+001,1.369000e+001,6.200000e+002,1.895000e+003,417,2.538781e-001,2.599852e+002,1.250804e+002,3.876439e+001,9.226311e-001,1.515298e+002,4.544365e+000,1.389423e+000,7.753395e-001
11,E,3.192111e+001,1.369000e+001,5.070000e+002,1.916000e+003,437,2.550991e-001,2.505495e+002,1.243798e+002,4.133029e+001,9.198909e-001,1.517425e+002,4.384439e+000,1.431870e+000,7.575775e-001
11,F,1.117604e+001,1.369000e+001,1.760000e+002,5.350000e+002,153,2.432314e-001,2.073978e+002,1.237941e+002,4.707783e+001,8.984014e-001,1.522622e+002,3.496732e+000,1.667818e+000,7.470456e-001
11,G,1.365961e+001,1.369000e+001,2.280000e+002,7.240000e+002,187,2.431229e-001,2.000791e+002,1.244613e+002,4.047551e+001,1.017738e+000,1.496987e+002,3.871658e+000,1.663551e+000,7.564099e-001





2
Timespan (h):, 15.9858
2,B,1.928415e+001,1.369000e+001,5.270000e+002,7.620000e+002,264,1.778556e-001,2.296891e+002,1.134482e+002,2.707522e+001,6.661543e-001,1.334548e+002,2.886364e+000,1.502314e+000,7.069607e-001
2,C,2.030679e+001,1.369000e+001,5.740000e+002,8.040000e+002,278,1.657794e-001,2.330545e+002,1.133569e+002,2.206228e+001,6.505502e-001,1.278443e+002,2.892086e+000,1.451729e+000,7.094329e-001
2,D,6.062820e+001,1.369000e+001,9.200000e+002,3.407000e+003,830,2.270893e-001,2.784346e+002,1.240525e+002,3.322811e+001,7.773831e-001,1.493779e+002,4.104819e+000,1.351952e+000,7.657572e-001
2,E,5.763331e+001,1.369000e+001,9.130000e+002,3.276000e+003,789,2.217151e-001,2.792499e+002,1.265134e+002,3.356227e+001,7.796657e-001,1.524007e+002,4.152091e+000,1.349659e+000,7.683824e-001
2,F,2.242513e+001,1.369000e+001,3.640000e+002,1.097000e+003,307,2.504873e-001,2.173421e+002,1.305547e+002,4.469355e+001,8.756670e-001,1.599927e+002,3.573290e+000,1.559712e+000,7.456409e-001
2,G,1.570489e+001,1.369000e+001,3.280000e+002,7.310000e+002,215,2.257459e-001,2.218903e+002,1.296698e+002,3.857191e+001,8.172331e-001,1.568087e+002,3.400000e+000,1.558110e+000,7.445258e-001
3,B,3.024105e+001,1.369000e+001,8.940000e+002,1.146000e+003,414,1.753233e-001,2.265718e+002,1.109204e+002,2.468629e+001,6.294131e-001,1.275644e+002,2.768116e+000,1.470499e+000,7.196181e-001
3,C,2.899927e+001,1.369000e+001,7.930000e+002,1.183000e+003,397,1.646826e-001,2.273380e+002,1.115051e+002,2.270733e+001,6.834701e-001,1.289802e+002,2.979849e+000,1.489918e+000,7.195723e-001
3,D,5.471147e+001,1.369000e+001,8.240000e+002,3.520000e+003,749,2.379461e-001,2.669540e+002,1.261120e+002,3.464651e+001,9.243594e-001,1.504539e+002,4.699599e+000,1.439868e+000,7.635403e-001
3,E,4.667641e+001,1.369000e+001,7.130000e+002,2.997000e+003,639,2.277087e-001,2.675177e+002,1.269187e+002,3.285751e+001,9.207956e-001,1.508791e+002,4.690141e+000,1.397146e+000,7.685078e-001
3,F,1.913806e+001,1.369000e+001,3.550000e+002,1.000000e+003,262,2.265803e-001,2.108004e+002,1.269911e+002,3.829132e+001,9.476027e-001,1.520316e+002,3.816794e+000,1.613906e+000,7.404402e-001
3,G,1.650840e+001,1.369000e+001,3.570000e+002,8.290000e+002,226,2.191584e-001,2.083221e+002,1.289003e+002,3.525350e+001,9.323212e-001,1.526243e+002,3.668142e+000,1.565259e+000,7.498377e-001
4,B,3.140979e+001,1.369000e+001,8.690000e+002,1.250000e+003,430,1.748977e-001,2.257391e+002,1.110895e+002,2.325038e+001,6.795861e-001,1.285306e+002,2.906977e+000,1.474264e+000,7.193292e-001
4,C,3.199416e+001,1.369000e+001,8.280000e+002,1.284000e+003,438,1.662038e-001,2.197202e+002,1.130543e+002,2.376856e+001,7.022237e-001,1.297299e+002,2.931507e+000,1.475390e+000,7.300592e-001
4,D,5.127831e+001,1.369000e+001,8.070000e+002,3.046000e+003,702,2.238561e-001,2.674483e+002,1.229447e+002,3.319324e+001,8.469743e-001,1.474305e+002,4.339031e+000,1.429452e+000,7.582303e-001
4,E,5.682980e+001,1.369000e+001,8.710000e+002,3.543000e+003,778,2.293199e-001,2.655100e+002,1.267322e+002,3.486652e+001,8.950521e-001,1.515154e+002,4.553985e+000,1.421501e+000,7.611948e-001
4,F,1.994156e+001,1.369000e+001,3.390000e+002,1.010000e+003,273,2.086293e-001,2.061535e+002,1.241938e+002,3.316610e+001,9.392045e-001,1.458365e+002,3.699634e+000,1.570790e+000,7.495168e-001
4,G,2.140248e+001,1.369000e+001,3.430000e+002,9.480000e+002,293,1.938150e-001,2.197242e+002,1.227702e+002,3.225549e+001,7.790604e-001,1.452849e+002,3.235495e+000,1.511924e+000,7.377788e-001
5,B,2.819576e+001,1.369000e+001,8.090000e+002,1.096000e+003,386,1.656127e-001,2.230540e+002,1.115119e+002,2.235573e+001,6.653980e-001,1.266206e+002,2.839378e+000,1.428349e+000,7.318224e-001
5,C,2.746530e+001,1.369000e+001,7.350000e+002,1.112000e+003,376,1.750708e-001,2.192736e+002,1.141382e+002,2.459695e+001,7.079756e-001,1.325632e+002,2.957447e+000,1.461091e+000,7.349631e-001
5,D,4.989043e+001,1.369000e+001,7.690000e+002,3.091000e+003,683,2.238824e-001,2.648443e+002,1.245577e+002,3.308530e+001,8.966171e-001,1.481023e+002,4.525622e+000,1.447090e+000,7.599312e-001
5,E,4.075968e+001,1.369000e+001,6.510000e+002,2.578000e+003,558,2.329893e-001,2.728672e+002,1.288093e+002,3.522426e+001,8.918712e-001,1.542867e+002,4.620072e+000,1.405660e+000,7.619496e-001
5,F,1.548576e+001,1.369000e+001,2.810000e+002,7.450000e+002,212,2.181093e-001,2.130337e+002,1.257446e+002,3.624993e+001,8.616967e-001,1.506697e+002,3.514151e+000,1.574646e+000,7.435265e-001
5,G,1.563185e+001,1.369000e+001,2.640000e+002,7.570000e+002,214,2.199625e-001,2.086976e+002,1.282508e+002,3.772122e+001,8.929372e-001,1.524551e+002,3.537383e+000,1.559109e+000,7.476462e-001
6,B,3.367421e+001,1.369000e+001,8.560000e+002,1.378000e+003,461,1.747965e-001,2.254253e+002,1.118712e+002,2.301841e+001,6.920167e-001,1.283006e+002,2.989154e+000,1.482978e+000,7.273584e-001
6,C,2.775749e+001,1.369000e+001,6.890000e+002,1.045000e+003,380,1.766752e-001,2.216064e+002,1.117790e+002,2.477840e+001,6.520931e-001,1.286021e+002,2.750000e+000,1.441276e+000,7.295972e-001
6,D,6.084733e+001,1.369000e+001,9.280000e+002,3.805000e+003,833,2.308775e-001,2.621943e+002,1.250262e+002,3.546860e+001,9.153285e-001,1.495396e+002,4.567827e+000,1.421674e+000,7.657293e-001
6,E,4.178232e+001,1.369000e+001,6.510000e+002,2.615000e+003,572,2.277967e-001,2.756390e+002,1.255048e+002,3.374279e+001,8.687867e-001,1.499721e+002,4.571678e+000,1.422313e+000,7.606999e-001
6,F,2.111030e+001,1.369000e+001,3.850000e+002,1.026000e+003,289,2.210939e-001,2.111805e+002,1.261904e+002,3.802074e+001,8.799660e-001,1.499018e+002,3.550173e+000,1.586052e+000,7.321389e-001
6,G,1.037253e+001,1.369000e+001,1.870000e+002,5.180000e+002,142,2.183259e-001,2.033469e+002,1.279394e+002,3.570814e+001,9.362547e-001,1.514687e+002,3.647887e+000,1.589286e+000,7.452957e-001
7,B,4.236669e+001,1.369000e+001,9.250000e+002,1.640000e+003,580,1.687794e-001,2.288286e+002,1.116421e+002,2.285930e+001,6.444121e-001,1.279808e+002,2.827586e+000,1.412750e+000,7.316550e-001
7,C,4.024836e+001,1.369000e+001,8.780000e+002,1.728000e+003,551,1.852647e-001,2.228632e+002,1.135248e+002,2.552039e+001,7.386833e-001,1.315767e+002,3.136116e+000,1.477391e+000,7.263541e-001
7,D,3.389335e+001,1.369000e+001,5.180000e+002,2.217000e+003,464,2.424735e-001,2.636113e+002,1.286659e+002,3.687000e+001,9.559211e-001,1.539111e+002,4.778017e+000,1.418111e+000,7.752787e-001
7,E,5.368882e+001,1.369000e+001,8.150000e+002,3.334000e+003,735,2.280223e-001,2.646530e+002,1.264696e+002,3.483207e+001,9.016541e-001,1.513858e+002,4.536054e+000,1.419967e+000,7.660644e-001
7,F,1.417093e+001,1.369000e+001,3.200000e+002,7.260000e+002,194,2.487364e-001,2.141313e+002,1.291456e+002,4.572658e+001,9.290202e-001,1.577913e+002,3.742268e+000,1.620081e+000,7.314011e-001
7,G,1.278305e+001,1.369000e+001,2.350000e+002,6.300000e+002,175,2.392621e-001,2.144315e+002,1.280598e+002,4.344258e+001,8.765560e-001,1.551592e+002,3.600000e+000,1.619339e+000,7.292214e-001
8,B,4.141709e+001,1.369000e+001,8.770000e+002,1.733000e+003,567,1.789689e-001,2.310458e+002,1.113665e+002,2.365395e+001,6.955656e-001,1.284558e+002,3.056437e+000,1.461594e+000,7.295216e-001
8,C,4.032140e+001,1.369000e+001,8.320000e+002,1.684000e+003,552,1.855934e-001,2.200754e+002,1.133235e+002,2.544587e+001,7.334676e-001,1.316369e+002,3.050725e+000,1.446782e+000,7.405513e-001
8,D,4.149014e+001,1.369000e+001,6.430000e+002,2.715000e+003,568,2.413962e-001,2.653160e+002,1.269132e+002,3.582507e+001,9.488913e-001,1.519608e+002,4.779930e+000,1.406098e+000,7.743419e-001
8,E,6.216216e+001,1.369000e+001,9.550000e+002,3.947000e+003,851,2.465130e-001,2.629484e+002,1.286522e+002,3.878373e+001,9.285344e-001,1.555926e+002,4.638073e+000,1.386700e+000,7.782624e-001
8,F,8.473338e+000,1.369000e+001,2.170000e+002,4.190000e+002,116,2.706330e-001,2.042062e+002,1.348739e+002,5.438674e+001,9.329986e-001,1.692167e+002,3.612069e+000,1.580985e+000,7.387166e-001
8,G,1.139518e+001,1.369000e+001,2.150000e+002,5.610000e+002,156,2.599017e-001,2.085346e+002,1.320236e+002,4.828570e+001,9.108371e-001,1.610784e+002,3.596154e+000,1.631148e+000,7.243206e-001
9,B,3.966399e+001,1.369000e+001,1.105000e+003,1.638000e+003,543,1.905562e-001,2.186277e+002,1.134482e+002,2.635959e+001,7.298918e-001,1.322818e+002,3.016575e+000,1.489083e+000,7.328361e-001
9,C,3.491600e+001,1.369000e+001,8.190000e+002,1.422000e+003,478,1.873624e-001,2.109741e+002,1.142347e+002,2.684487e+001,7.436531e-001,1.337049e+002,2.974895e+000,1.441323e+000,7.385134e-001
9,D,6.084733e+001,1.369000e+001,9.420000e+002,3.981000e+003,833,2.470792e-001,2.600916e+002,1.290293e+002,3.840398e+001,9.681840e-001,1.549813e+002,4.779112e+000,1.403583e+000,7.690974e-001
9,E,3.418554e+001,1.369000e+001,5.450000e+002,2.143000e+003,468,2.549263e-001,2.700888e+002,1.300260e+002,4.272567e+001,8.926624e-001,1.593521e+002,4.579060e+000,1.378943e+000,7.667977e-001
9,F,1.132213e+001,1.369000e+001,2.300000e+002,5.780000e+002,155,2.914156e-001,2.011739e+002,1.389141e+002,6.102696e+001,9.726532e-001,1.728155e+002,3.729032e+000,1.586493e+000,7.386913e-001
9,G,9.934259e+000,1.369000e+001,2.130000e+002,5.350000e+002,136,2.771978e-001,2.090848e+002,1.347615e+002,5.665578e+001,1.009722e+000,1.674978e+002,3.933824e+000,1.617445e+000,7.274363e-001
10,B,3.878744e+001,1.369000e+001,8.190000e+002,1.684000e+003,531,2.017023e-001,2.122731e+002,1.136609e+002,2.855762e+001,7.849591e-001,1.341694e+002,3.171375e+000,1.465262e+000,7.307637e-001
10,C,3.813002e+001,1.369000e+001,9.300000e+002,1.766000e+003,522,1.996988e-001,2.147214e+002,1.152080e+002,2.906396e+001,8.249114e-001,1.359191e+002,3.383142e+000,1.497092e+000,7.276842e-001
10,D,3.922571e+001,1.369000e+001,6.200000e+002,2.538000e+003,537,2.669364e-001,2.514212e+002,1.308589e+002,4.477914e+001,9.929528e-001,1.613430e+002,4.726257e+000,1.389763e+000,7.695157e-001
