"","X","Date","CellLine","Time","nl2"
"94",94,20150831,"Subclones_Mix",48.5616,-0.0993126396104707
"95",95,20150831,"Subclones_Mix",65.5052,0.159664596675357
"96",96,20150831,"Subclones_Mix",72.9925,0.21819295304306
"97",97,20150831,"Subclones_Mix",91.4902,0.306187316156299
"98",98,20150831,"Subclones_Mix",99.2238,0.327081770138268
"99",99,20150831,"Subclones_Mix",118.6333,0.384424643606835
"100",100,20150831,"Subclones_Mix",167.858,0.486838793480535
"101",101,20150831,"Subclones_Mix",184.7286,0.473331502138228
"102",102,20150916,"Subclones_Mix",0,0
"103",103,20150916,"Subclones_Mix",16.6775,-0.140009790286541
"104",104,20150916,"Subclones_Mix",20.5578,-0.133227508626069
"105",105,20150916,"Subclones_Mix",41.1828,0.0615719094632041
"106",106,20150916,"Subclones_Mix",50.3011,0.161432112323975
"107",107,20150916,"Subclones_Mix",65.075,0.161432112323975
"108",108,20150916,"Subclones_Mix",74.4711,0.214316676948757
"109",109,20150916,"Subclones_Mix",87.8089,0.262409255786375
"110",110,20150916,"Subclones_Mix",112.468,0.292747185793269
"111",111,20150916,"Subclones_Mix",121.873,0.297971668778386
"112",112,20150916,"Subclones_Mix",136.0425,0.297971668778386
"113",113,20150916,"Subclones_Mix",146.7853,0.300822360005752
"114",114,20150916,"Subclones_Mix",160.4408,0.282141637062567
"115",115,20150916,"Subclones_Mix",167.2939,0.294326382821321
