"","x","N","y","sd","se","ci"
"1",-4.71238898038469,2000,0,0,0,0
"2",-4.61421420996001,2000,-0.0163909922159495,0.00450605825100753,0.000100758525598267,0.000197602725571332
"3",-4.51603943953533,2000,-0.0654061146485317,0.0179808371998113,0.00040206374271135,0.000788507880017455
"4",-4.41786466911065,2000,-0.146573324874328,0.0402945673590703,0.000901013917388253,0.00176702472367941
"5",-4.31968989868597,2000,-0.259110938288355,0.0712323553094257,0.00159280388669294,0.00312372960444105
"6",-4.22151512826128,2000,-0.401935156154116,0.1104962532406,0.00247077133505013,0.00484555671265027
"7",-4.1233403578366,2000,-0.573670503177906,0.157708128351686,0.00352646095598632,0.0069159239120086
"8",-4.02516558741192,2000,-0.772663074087796,0.212413304476728,0.00474970588135325,0.00931489243460839
"9",-3.92699081698724,2000,-0.996996461645518,0.274084940864751,0.00612872559382593,0.0120193589021674
"10",-3.82881604656256,2000,-1.24451021269579,0.342129105944192,0.0076502393797244,0.0150032778241913
"11",-3.73064127613788,2000,-1.51282063451121,0.415890497208611,0.00929959422954641,0.0182379124302849
"12",-3.6324665057132,2000,-1.79934375105631,0.494658752138055,0.0110609059544591,0.0216921114209605
"13",-3.53429173528852,2000,-2.10132018808929,0.577675289378445,0.0129172121597206,0.0253326089716806
"14",-3.43611696486384,2000,-2.41584174744441,0.6641406142947,0.0148506356018142,0.0291243451009334
"15",-3.33794219443916,2000,-2.7398794145701,0.753222018541121,0.0168425563560755,0.0330308033170203
"16",-3.23976742401447,2000,-3.07031252959493,0.844061599497968,0.0188737911367466,0.0370143622918331
"17",-3.14159265358979,2000,-3.40395884098811,0.93578452234266,0.0209247780425036,0.0410366581748097
"18",-3.04341788316511,2000,-3.7376051523813,1.02750744518735,0.0229757649482606,0.0450589540577862
"19",-2.94524311274043,2000,-4.06803826740613,1.1183470261442,0.0250069997289316,0.0490425130325991
"20",-2.84706834231575,2000,-4.39207593453182,1.20742843039062,0.026998920483193,0.052948971248686
"21",-2.74889357189107,2000,-4.70659749388694,1.29389375530687,0.0289323439252865,0.0567407073779387
"22",-2.65071880146639,2000,-5.00857393091992,1.37691029254726,0.030788650130548,0.0603812049286588
"23",-2.55254403104171,2000,-5.29509704746502,1.45567854747671,0.0325499618554607,0.0638354039193344
"24",-2.45436926061703,2000,-5.56340746928044,1.52943993874113,0.0341993167052828,0.0670700385254281
"25",-2.35619449019234,2000,-5.81092122033071,1.59748410382057,0.0357208304911812,0.070053957447452
"26",-2.25801971976766,2000,-6.03525460788843,1.65915574020859,0.0370998502036539,0.0727584239150109
"27",-2.15984494934298,2000,-6.23424717879832,1.71386091633363,0.0383230951290208,0.0751573924376107
"28",-2.0616701789183,2000,-6.40598252582211,1.76107279144472,0.039378784749957,0.0772277596369691
"29",-1.96349540849362,2000,-6.54880674368787,1.80033668937589,0.0402567521983142,0.0789495867451783
"30",-1.86532063806894,2000,-6.6613443571019,1.83127447732625,0.0409485421676189,0.0803062916259399
"31",-1.76714586764426,2000,-6.7425115673277,1.85358820748551,0.0414474923422958,0.0812848084696019
"32",-1.66897109721958,2000,-6.79152668976028,1.86706298643431,0.0417487975594089,0.081875713624048
"33",-1.5707963267949,2000,-6.80791768197623,1.87156904468532,0.0418495560850071,0.0820733163496193
"34",-1.47262155637022,2000,-6.79152668976028,1.86706298643431,0.0417487975594089,0.081875713624048
"35",-1.37444678594553,2000,-6.7425115673277,1.85358820748551,0.0414474923422958,0.0812848084696019
"36",-1.27627201552085,2000,-6.6613443571019,1.83127447732625,0.0409485421676189,0.0803062916259399
"37",-1.17809724509617,2000,-6.54880674368787,1.80033668937589,0.0402567521983142,0.0789495867451783
"38",-1.07992247467149,2000,-6.40598252582211,1.76107279144472,0.039378784749957,0.0772277596369691
"39",-0.981747704246811,2000,-6.23424717879832,1.71386091633363,0.0383230951290208,0.0751573924376107
"40",-0.883572933822129,2000,-6.03525460788843,1.65915574020859,0.0370998502036539,0.0727584239150109
"41",-0.785398163397448,2000,-5.81092122033071,1.59748410382057,0.0357208304911812,0.070053957447452
"42",-0.687223392972768,2000,-5.56340746928044,1.52943993874113,0.0341993167052828,0.0670700385254281
"43",-0.589048622548086,2000,-5.29509704746502,1.45567854747671,0.0325499618554607,0.0638354039193344
"44",-0.490873852123405,2000,-5.00857393091992,1.37691029254726,0.030788650130548,0.0603812049286588
"45",-0.392699081698725,2000,-4.70659749388694,1.29389375530687,0.0289323439252865,0.0567407073779388
"46",-0.294524311274043,2000,-4.39207593453182,1.20742843039062,0.026998920483193,0.052948971248686
"47",-0.196349540849362,2000,-4.06803826740613,1.1183470261442,0.0250069997289316,0.0490425130325991
"48",-0.0981747704246807,2000,-3.73760515238129,1.02750744518735,0.0229757649482605,0.0450589540577862
"49",0,2000,-3.40395884098811,0.93578452234266,0.0209247780425036,0.0410366581748097
"50",0.0981747704246807,2000,-3.07031252959493,0.844061599497969,0.0188737911367466,0.0370143622918331
"51",0.196349540849362,2000,-2.7398794145701,0.753222018541121,0.0168425563560755,0.0330308033170203
"52",0.294524311274043,2000,-2.41584174744441,0.6641406142947,0.0148506356018142,0.0291243451009333
"53",0.392699081698725,2000,-2.10132018808929,0.577675289378444,0.0129172121597206,0.0253326089716806
"54",0.490873852123405,2000,-1.79934375105631,0.494658752138055,0.0110609059544591,0.0216921114209605
