"","col","rate","R2"
"1",1,0.00947806270374939,0.840812506223499
"2",2,0.0168239310513312,0.999982860315579
"3",3,0.0045797625866925,0.424009985365181
"4",4,0.00755577214652709,0.364738622754215
"5",5,-0.01197522078283,0.378996853827979
"6",6,0.0097207301779405,0.880839231314455
"7",7,0.00985905316772563,0.794814615358726
"8",8,0.00802149252854409,0.54717219859211
"9",9,0.018774359497394,0.936702661211984
"10",10,-0.0069972052428195,0.291856244625043
"11",11,0.0118827830631235,0.858670092446344
"12",12,0.0124083470275767,0.861412026024975
"13",13,0.0110154353664708,0.8495726818484
"14",14,0.0105578104067834,0.661247091575285
"15",15,0.00696476742269602,0.561458602608101
"16",16,0.00610726606301767,0.555999233577112
"17",17,0.010991898569021,0.820356698517273
"18",18,0.00992043172394448,0.586282768179679
"19",19,0.01453883989998,0.880233868419145
"20",20,0.00989114979341394,0.851898940386303
"21",21,0.011745064928382,0.826745324942953
"22",22,0.00760546972004169,0.914730649041884
"23",23,0.0138891747402254,0.878572370017075
"24",24,0.0101106587050071,0.919356585814631
"25",25,-0.00735595747561336,0.0930003158352733
"26",26,0.00835332349725166,0.643586177052075
"27",27,0.0163404800915926,0.877257154636825
"28",28,0.00956228103710934,0.881247821964462
"29",29,0.0139498007412826,0.921991810509987
"30",30,0.00358606808341277,0.150511676472027
"31",31,0.0121877104877608,0.985764018737526
"32",32,0.0274310718791684,0.839582330066631
"33",33,0.00176549156084646,0.0492671106578227
"34",34,0.0108367128755291,0.87683954430513
"35",35,0.0110590235326117,0.921128586959126
"36",36,0.0141029912311987,0.948373136389086
"37",37,0.0178152813262398,0.946857054230759
"38",38,0.0151038193072473,0.976133694158924
"39",39,0.0115315601140711,0.82326093055494
"40",40,0.0104406042801708,0.915257006367975
"41",41,0.013020686152402,0.902215717660066
"42",42,0.0166379226570949,0.99926757219871
"43",43,0.0134131530282961,0.933134567001066
"44",44,0.00724566412543159,0.851643246752333
"45",45,0.00921865373256893,0.91436536978522
"46",46,0.00946564311357829,0.851894862799242
"47",47,0.0111392356674872,0.866977525263831
"48",48,-0.02002483665944,0.265245572951703
"49",49,0.00458192585776293,0.294631307311365
"50",50,0.0158378282060216,0.879724769358505
"51",51,0.0114405994522996,0.813020628374513
"52",52,0.0101384132615201,0.816824774352122
"53",53,0.00932537405864013,0.938878583561227
"54",54,0.0125718322294793,0.945298919076873
"55",55,0.0132965115713336,0.957805645993284
"56",56,0.00699269386896434,0.679940632503212
"57",57,0.0157170786061521,0.961483900342923
"58",58,0.0166867204492503,0.992763747931929
"59",59,0.00644454844956852,0.638692808343938
"60",60,0.0212420215438766,0.952483691750354
"61",61,0.0144321540880345,0.93925012051696
"62",62,0.0150074176888366,0.803305434618796
"63",63,0.0193816112541795,0.982376801137681
