"","Birth.frame","Birth.ID","End.frame","End.ID","End.of.Movie","Died1","FUCCI.ON.frame","Questionable","Notes","Birth.time..h.","Lifetime..h.","EOE","Died","G1_time","S_G2_M_time","Match","min_bt_frames","CellLine","phase"
"817",321,"A",364,NA,TRUE,NA,NA,NA,NA,275,14.3,TRUE,FALSE,14.3,0,NA,20,"SC10","idling"
"818",321,"A",364,NA,TRUE,NA,NA,NA,NA,275,14.3,TRUE,FALSE,14.3,0,NA,20,"SC10","idling"
"819",191,"A",364,NA,TRUE,NA,NA,NA,NA,231.7,57.7,TRUE,FALSE,57.7,0,NA,20,"SC10","idling"
"820",236,"A",364,NA,TRUE,NA,321,NA,NA,246.7,42.7,TRUE,FALSE,28.3,14.3,NA,20,"SC10","idling"
"821",236,"A",364,NA,TRUE,NA,328,NA,NA,246.7,42.7,TRUE,FALSE,30.7,12,NA,20,"SC10","idling"
"822",309,"A",364,NA,TRUE,NA,NA,NA,NA,271,18.3,TRUE,FALSE,18.3,0,NA,20,"SC10","idling"
"823",309,"A",364,NA,TRUE,NA,NA,NA,NA,271,18.3,TRUE,FALSE,18.3,0,NA,20,"SC10","idling"
"824",311,"A",364,NA,TRUE,NA,NA,NA,NA,271.7,17.7,TRUE,FALSE,17.7,0,NA,20,"SC10","idling"
"825",311,"A",364,NA,TRUE,NA,NA,NA,NA,271.7,17.7,TRUE,FALSE,17.7,0,NA,20,"SC10","idling"
"826",278,"A",364,NA,TRUE,NA,NA,NA,NA,260.7,28.7,TRUE,FALSE,28.7,0,NA,20,"SC10","idling"
"827",278,"A",364,NA,TRUE,NA,NA,NA,NA,260.7,28.7,TRUE,FALSE,28.7,0,NA,20,"SC10","idling"
"828",283,"A",364,NA,TRUE,NA,356,NA,NA,262.3,27,TRUE,FALSE,24.3,2.7,NA,20,"SC10","idling"
"829",294,"A",364,NA,TRUE,NA,341,NA,NA,266,23.3,TRUE,FALSE,15.7,7.7,NA,20,"SC10","idling"
"830",294,"A",364,NA,TRUE,NA,341,NA,NA,266,23.3,TRUE,FALSE,15.7,7.7,NA,20,"SC10","idling"
"831",48,"A",56,NA,NA,TRUE,NA,NA,NA,184,2.7,FALSE,TRUE,2.7,0,NA,20,"SC10","idling"
"832",49,"A",65,NA,NA,TRUE,NA,NA,NA,184.3,5.3,FALSE,TRUE,5.3,0,NA,20,"SC10","idling"
"833",113,"A",134,NA,NA,TRUE,NA,NA,NA,205.7,7,FALSE,TRUE,7,0,NA,20,"SC10","idling"
"834",314,"A",319,NA,NA,TRUE,NA,NA,NA,272.7,1.7,FALSE,TRUE,1.7,0,NA,20,"SC10","idling"
"835",124,"A",185,NA,NA,TRUE,140,NA,NA,209.3,20.3,FALSE,TRUE,5.3,15,NA,20,"SC10","idling"
"836",250,"A",285,NA,NA,TRUE,NA,NA,NA,251.3,11.7,FALSE,TRUE,11.7,0,NA,20,"SC10","idling"
"837",119,"A",123,NA,NA,TRUE,NA,NA,NA,207.7,1.3,FALSE,TRUE,1.3,0,NA,20,"SC10","idling"
"838",119,"A",123,NA,NA,TRUE,NA,NA,NA,207.7,1.3,FALSE,TRUE,1.3,0,NA,20,"SC10","idling"
"839",178,"A",199,NA,NA,TRUE,NA,NA,NA,227.3,7,FALSE,TRUE,7,0,NA,20,"SC10","idling"
"840",110,"A",136,NA,NA,TRUE,NA,NA,NA,204.7,8.7,FALSE,TRUE,8.7,0,NA,20,"SC10","idling"
"841",242,"A",283,NA,NA,TRUE,NA,NA,NA,248.7,13.7,FALSE,TRUE,13.7,0,NA,20,"SC10","idling"
"842",67,"B",104,NA,NA,TRUE,NA,NA,NA,190.3,12.3,FALSE,TRUE,12.3,0,NA,20,"SC10","idling"
"843",116,"A",166,NA,NA,TRUE,NA,NA,NA,206.7,16.7,FALSE,TRUE,16.7,0,NA,20,"SC10","idling"
"844",7,"B",19,NA,NA,TRUE,NA,NA,NA,170.3,4,FALSE,TRUE,4,0,NA,20,"SC10","idling"
"845",17,"A",56,NA,NA,TRUE,NA,NA,NA,173.7,13,FALSE,TRUE,13,0,NA,20,"SC10","idling"
"846",17,"A",61,NA,NA,TRUE,NA,NA,NA,173.7,14.7,FALSE,TRUE,14.7,0,NA,20,"SC10","idling"
"847",134,"A",139,NA,NA,TRUE,NA,NA,NA,212.7,1.7,FALSE,TRUE,1.7,0,NA,20,"SC10","idling"
"848",58,"A",61,NA,NA,TRUE,NA,NA,NA,187.3,1,FALSE,TRUE,1,0,NA,20,"SC10","idling"
"849",7,"C",28,NA,NA,TRUE,NA,NA,NA,170.3,7,FALSE,TRUE,7,0,NA,20,"SC10","idling"
"850",92,"A",98,NA,NA,TRUE,NA,NA,NA,198.7,2,FALSE,TRUE,2,0,NA,20,"SC10","idling"
"851",92,"A",104,NA,NA,TRUE,NA,NA,NA,198.7,4,FALSE,TRUE,4,0,NA,20,"SC10","idling"
"852",66,"A",139,NA,NA,TRUE,NA,NA,NA,190,24.3,FALSE,TRUE,24.3,0,NA,20,"SC10","idling"
"853",66,"A",140,NA,NA,TRUE,NA,NA,NA,190,24.7,FALSE,TRUE,24.7,0,NA,20,"SC10","idling"
"854",169,"A",204,NA,NA,TRUE,NA,NA,NA,224.3,11.7,FALSE,TRUE,11.7,0,NA,20,"SC10","idling"
"855",289,"B",324,NA,NA,TRUE,NA,NA,NA,264.3,11.7,FALSE,TRUE,11.7,0,NA,20,"SC10","idling"
"856",258,"B",294,NA,NA,TRUE,NA,NA,NA,254,12,FALSE,TRUE,12,0,NA,20,"SC10","idling"
"857",258,"A",295,NA,NA,TRUE,NA,NA,NA,254,12.3,FALSE,TRUE,12.3,0,NA,20,"SC10","idling"
"858",191,"A",312,NA,NA,NA,246,NA,NA,231.7,40.3,FALSE,FALSE,18.3,22,NA,20,"SC10","idling"
"859",191,"A",312,NA,NA,NA,250,NA,NA,231.7,40.3,FALSE,FALSE,19.7,20.7,NA,20,"SC10","idling"
"860",174,"A",282,NA,NA,NA,258,NA,NA,226,36,FALSE,FALSE,28,8,NA,20,"SC10","idling"
"861",174,"A",288,NA,NA,NA,285,NA,NA,226,38,FALSE,FALSE,37,1,NA,20,"SC10","idling"
"862",160,"A",186,NA,NA,NA,177,NA,NA,221.3,8.7,FALSE,FALSE,5.7,3,NA,20,"SC10","idling"
"863",171,"B",294,NA,NA,NA,255,NA,NA,225,41,FALSE,FALSE,28,13,NA,20,"SC10","idling"
"864",104,"A",306,NA,NA,NA,269,NA,NA,202.7,67.3,FALSE,FALSE,55,12.3,NA,20,"SC10","idling"
"865",104,"A",306,NA,NA,NA,271,NA,NA,202.7,67.3,FALSE,FALSE,55.7,11.7,NA,20,"SC10","idling"
"866",242,"A",348,NA,NA,NA,313,NA,NA,248.7,35.3,FALSE,FALSE,23.7,11.7,NA,20,"SC10","idling"
"867",5,"A",74,NA,NA,NA,42,NA,NA,169.7,23,FALSE,FALSE,12.3,10.7,NA,20,"SC10","idling"
"868",162,"A",245,NA,NA,NA,206,NA,NA,222,27.7,FALSE,FALSE,14.7,13,NA,20,"SC10","idling"
"869",162,"A",245,NA,NA,NA,206,NA,NA,222,27.7,FALSE,FALSE,14.7,13,NA,20,"SC10","idling"
"870",164,"A",349,NA,NA,NA,216,NA,NA,222.7,61.7,FALSE,FALSE,17.3,44.3,NA,20,"SC10","idling"
"871",164,"A",349,NA,NA,NA,217,NA,NA,222.7,61.7,FALSE,FALSE,17.7,44,NA,20,"SC10","idling"
"872",153,"A",233,NA,NA,NA,187,NA,NA,219,26.7,FALSE,FALSE,11.3,15.3,NA,20,"SC10","idling"
"873",153,"A",233,NA,NA,NA,188,NA,NA,219,26.7,FALSE,FALSE,11.7,15,NA,20,"SC10","idling"
"874",234,"A",321,NA,NA,NA,290,NA,NA,246,29,FALSE,FALSE,18.7,10.3,NA,20,"SC10","idling"
"875",5,"B",79,NA,NA,NA,47,NA,NA,169.7,24.7,FALSE,FALSE,14,10.7,NA,20,"SC10","idling"
"876",30,"B",90,NA,NA,NA,63,NA,NA,178,20,FALSE,FALSE,11,9,NA,20,"SC10","idling"
"877",30,"B",106,NA,NA,NA,72,NA,NA,178,25.3,FALSE,FALSE,14,11.3,NA,20,"SC10","idling"
"878",91,"A",157,NA,NA,NA,126,NA,NA,198.3,22,FALSE,FALSE,11.7,10.3,NA,20,"SC10","idling"
"879",91,"A",162,NA,NA,NA,131,NA,NA,198.3,23.7,FALSE,FALSE,13.3,10.3,NA,20,"SC10","idling"
"880",107,"A",222,NA,NA,NA,182,NA,NA,203.7,38.3,FALSE,FALSE,25,13.3,NA,20,"SC10","idling"
"881",107,"A",186,NA,NA,NA,184,NA,NA,203.7,26.3,FALSE,FALSE,25.7,0.7,NA,20,"SC10","idling"
"882",223,"A",291,NA,NA,NA,262,NA,NA,242.3,22.7,FALSE,FALSE,13,9.7,NA,20,"SC10","idling"
"883",223,"A",310,NA,NA,NA,285,NA,NA,242.3,29,FALSE,FALSE,20.7,8.3,NA,20,"SC10","idling"
"884",161,"A",305,NA,NA,NA,271,NA,NA,221.7,48,FALSE,FALSE,36.7,11.3,NA,20,"SC10","idling"
"885",126,"A",171,NA,NA,NA,156,NA,NA,210,15,FALSE,FALSE,10,5,NA,20,"SC10","idling"
"886",175,"A",280,NA,NA,NA,238,NA,NA,226.3,35,FALSE,FALSE,21,14,NA,20,"SC10","idling"
"887",209,"A",320,NA,NA,NA,265,NA,NA,237.7,37,FALSE,FALSE,18.7,18.3,NA,20,"SC10","idling"
"888",113,"B",255,NA,NA,NA,217,NA,NA,205.7,47.3,FALSE,FALSE,34.7,12.7,NA,20,"SC10","idling"
"889",136,"A",270,NA,NA,NA,226,NA,NA,213.3,44.7,FALSE,FALSE,30,14.7,NA,20,"SC10","idling"
"890",213,"A",324,NA,NA,NA,281,NA,NA,239,37,FALSE,FALSE,22.7,14.3,NA,20,"SC10","idling"
"891",8,"A",9,NA,NA,TRUE,NA,NA,NA,170.7,0.3,FALSE,TRUE,0.3,0,NA,20,"SC10","idling"
"892",9,"A",58,NA,NA,TRUE,NA,NA,NA,171,16.3,FALSE,TRUE,16.3,0,NA,20,"SC10","idling"
"893",10,"A",21,NA,NA,TRUE,NA,NA,NA,171.3,3.7,FALSE,TRUE,3.7,0,NA,20,"SC10","idling"
"894",16,"A",28,NA,NA,TRUE,NA,NA,NA,173.3,4,FALSE,TRUE,4,0,NA,20,"SC10","idling"
"895",17,"A",97,NA,NA,TRUE,NA,NA,NA,173.7,26.7,FALSE,TRUE,26.7,0,NA,20,"SC10","idling"
"896",17,"A",97,NA,NA,TRUE,NA,NA,NA,173.7,26.7,FALSE,TRUE,26.7,0,NA,20,"SC10","idling"
"897",19,"B",34,NA,NA,TRUE,NA,NA,NA,174.3,5,FALSE,TRUE,5,0,NA,20,"SC10","idling"
"898",19,"B",89,NA,NA,TRUE,59,NA,NA,174.3,23.3,FALSE,TRUE,13.3,10,NA,20,"SC10","idling"
"899",23,"A",122,NA,NA,TRUE,91,NA,NA,175.7,33,FALSE,TRUE,22.7,10.3,NA,20,"SC10","idling"
"900",27,"A",51,NA,NA,TRUE,NA,NA,NA,177,8,FALSE,TRUE,8,0,NA,20,"SC10","idling"
"901",28,"A",57,NA,NA,TRUE,NA,NA,NA,177.3,9.7,FALSE,TRUE,9.7,0,NA,20,"SC10","idling"
"902",32,"A",58,NA,NA,TRUE,NA,NA,NA,178.7,8.7,FALSE,TRUE,8.7,0,NA,20,"SC10","idling"
"903",32,"A",82,NA,NA,TRUE,NA,NA,NA,178.7,16.7,FALSE,TRUE,16.7,0,NA,20,"SC10","idling"
"904",34,"A",81,NA,NA,TRUE,NA,NA,NA,179.3,15.7,FALSE,TRUE,15.7,0,NA,20,"SC10","idling"
"905",41,"A",111,NA,NA,TRUE,NA,NA,NA,181.7,23.3,FALSE,TRUE,23.3,0,NA,20,"SC10","idling"
"906",41,"A",191,NA,NA,TRUE,128,NA,NA,181.7,50,FALSE,TRUE,29,21,NA,20,"SC10","idling"
"907",43,"A",52,NA,NA,TRUE,NA,NA,NA,182.3,3,FALSE,TRUE,3,0,NA,20,"SC10","idling"
"908",46,"A",58,NA,NA,TRUE,NA,NA,NA,183.3,4,FALSE,TRUE,4,0,NA,20,"SC10","idling"
"909",46,"A",107,NA,NA,TRUE,NA,NA,NA,183.3,20.3,FALSE,TRUE,20.3,0,NA,20,"SC10","idling"
"910",46,"B",364,NA,NA,TRUE,132,NA,NA,183.3,106,FALSE,TRUE,28.7,77.3,NA,20,"SC10","idling"
"911",53,"A",82,NA,NA,TRUE,NA,NA,NA,185.7,9.7,FALSE,TRUE,9.7,0,NA,20,"SC10","idling"
"912",53,"A",82,NA,NA,TRUE,NA,NA,NA,185.7,9.7,FALSE,TRUE,9.7,0,NA,20,"SC10","idling"
"913",53,"B",73,NA,NA,TRUE,NA,NA,NA,185.7,6.7,FALSE,TRUE,6.7,0,NA,20,"SC10","idling"
"914",53,"B",267,NA,NA,TRUE,NA,NA,NA,185.7,71.3,FALSE,TRUE,71.3,0,NA,20,"SC10","idling"
"915",54,"A",69,NA,NA,TRUE,NA,NA,NA,186,5,FALSE,TRUE,5,0,NA,20,"SC10","idling"
"916",56,"A",194,NA,NA,TRUE,NA,NA,NA,186.7,46,FALSE,TRUE,46,0,NA,20,"SC10","idling"
"917",56,"A",326,NA,NA,TRUE,NA,NA,NA,186.7,90,FALSE,TRUE,90,0,NA,20,"SC10","idling"
"918",60,"A",110,NA,NA,TRUE,NA,NA,NA,188,16.7,FALSE,TRUE,16.7,0,NA,20,"SC10","idling"
"919",62,"A",69,NA,NA,TRUE,NA,NA,NA,188.7,2.3,FALSE,TRUE,2.3,0,NA,20,"SC10","idling"
"920",62,"A",69,NA,NA,TRUE,NA,NA,NA,188.7,2.3,FALSE,TRUE,2.3,0,NA,20,"SC10","idling"
"921",65,"A",148,NA,NA,TRUE,NA,NA,NA,189.7,27.7,FALSE,TRUE,27.7,0,NA,20,"SC10","idling"
"922",65,"A",284,NA,NA,TRUE,202,NA,NA,189.7,73,FALSE,TRUE,45.7,27.3,NA,20,"SC10","idling"
"923",65,"B",284,NA,NA,TRUE,202,NA,NA,189.7,73,FALSE,TRUE,45.7,27.3,NA,20,"SC10","idling"
"924",65,"B",284,NA,NA,TRUE,202,NA,NA,189.7,73,FALSE,TRUE,45.7,27.3,NA,20,"SC10","idling"
"925",65,"C",118,NA,NA,TRUE,NA,NA,NA,189.7,17.7,FALSE,TRUE,17.7,0,NA,20,"SC10","idling"
"926",66,"B",265,NA,NA,TRUE,217,NA,NA,190,66.3,FALSE,TRUE,50.3,16,NA,20,"SC10","idling"
"927",81,"B",102,NA,NA,TRUE,NA,NA,NA,195,7,FALSE,TRUE,7,0,NA,20,"SC10","idling"
"928",81,"B",168,NA,NA,TRUE,NA,NA,NA,195,29,FALSE,TRUE,29,0,NA,20,"SC10","idling"
"929",90,"A",114,NA,NA,TRUE,NA,NA,NA,198,8,FALSE,TRUE,8,0,NA,20,"SC10","idling"
"930",90,"A",280,NA,NA,TRUE,NA,NA,NA,198,63.3,FALSE,TRUE,63.3,0,NA,20,"SC10","idling"
"931",91,"A",94,NA,NA,TRUE,NA,NA,NA,198.3,1,FALSE,TRUE,1,0,NA,20,"SC10","idling"
"932",91,"A",125,NA,NA,TRUE,NA,NA,NA,198.3,11.3,FALSE,TRUE,11.3,0,NA,20,"SC10","idling"
"933",93,"A",104,NA,NA,TRUE,NA,NA,NA,199,3.7,FALSE,TRUE,3.7,0,NA,20,"SC10","idling"
"934",93,"A",236,NA,NA,TRUE,164,NA,NA,199,47.7,FALSE,TRUE,23.7,24,NA,20,"SC10","idling"
"935",93,"B",102,NA,NA,TRUE,NA,NA,NA,199,3,FALSE,TRUE,3,0,NA,20,"SC10","idling"
"936",93,"B",102,NA,NA,TRUE,NA,NA,NA,199,3,FALSE,TRUE,3,0,NA,20,"SC10","idling"
"937",103,"A",291,NA,NA,TRUE,155,NA,NA,202.3,62.7,FALSE,TRUE,17.3,45.3,NA,20,"SC10","idling"
"938",116,"A",174,NA,NA,TRUE,142,NA,NA,206.7,19.3,FALSE,TRUE,8.7,10.7,NA,20,"SC10","idling"
"939",116,"A",121,NA,NA,TRUE,NA,NA,NA,206.7,1.7,FALSE,TRUE,1.7,0,NA,20,"SC10","idling"
"940",126,"A",361,NA,NA,TRUE,NA,NA,NA,210,78.3,FALSE,TRUE,78.3,0,NA,20,"SC10","idling"
"941",126,"A",361,NA,NA,TRUE,NA,NA,NA,210,78.3,FALSE,TRUE,78.3,0,NA,20,"SC10","idling"
"942",131,"A",256,NA,NA,TRUE,195,NA,NA,211.7,41.7,FALSE,TRUE,21.3,20.3,NA,20,"SC10","idling"
"943",131,"A",256,NA,NA,TRUE,195,NA,NA,211.7,41.7,FALSE,TRUE,21.3,20.3,NA,20,"SC10","idling"
"944",131,"B",139,NA,NA,TRUE,NA,NA,NA,211.7,2.7,FALSE,TRUE,2.7,0,NA,20,"SC10","idling"
"945",131,"B",258,NA,NA,TRUE,NA,NA,NA,211.7,42.3,FALSE,TRUE,42.3,0,NA,20,"SC10","idling"
"946",141,"A",169,NA,NA,TRUE,NA,NA,NA,215,9.3,FALSE,TRUE,9.3,0,NA,20,"SC10","idling"
"947",141,"A",258,NA,NA,TRUE,NA,NA,NA,215,39,FALSE,TRUE,39,0,NA,20,"SC10","idling"
"948",165,"A",224,NA,NA,TRUE,215,NA,NA,223,19.7,FALSE,TRUE,16.7,3,NA,20,"SC10","idling"
"949",168,"A",224,NA,NA,TRUE,NA,NA,NA,224,18.7,FALSE,TRUE,18.7,0,NA,20,"SC10","idling"
"950",170,"A",277,NA,NA,TRUE,243,NA,NA,224.7,35.7,FALSE,TRUE,24.3,11.3,NA,20,"SC10","idling"
"951",170,"A",277,NA,NA,TRUE,243,NA,NA,224.7,35.7,FALSE,TRUE,24.3,11.3,NA,20,"SC10","idling"
"952",189,"A",242,NA,NA,TRUE,NA,NA,NA,231,17.7,FALSE,TRUE,17.7,0,NA,20,"SC10","idling"
"953",189,"A",333,NA,NA,TRUE,NA,NA,NA,231,48,FALSE,TRUE,48,0,NA,20,"SC10","idling"
"954",245,"A",298,NA,NA,TRUE,NA,NA,NA,249.7,17.7,FALSE,TRUE,17.7,0,NA,20,"SC10","idling"
"955",245,"A",284,NA,NA,TRUE,NA,NA,NA,249.7,13,FALSE,TRUE,13,0,NA,20,"SC10","idling"
"956",311,"A",337,NA,NA,TRUE,NA,NA,NA,271.7,8.7,FALSE,TRUE,8.7,0,NA,20,"SC10","idling"
"957",191,"A",286,NA,NA,TRUE,NA,NA,NA,231.7,31.7,FALSE,TRUE,31.7,0,NA,20,"SC10","idling"
"958",202,"A",276,NA,NA,TRUE,NA,NA,NA,235.3,24.7,FALSE,TRUE,24.7,0,NA,20,"SC10","idling"
"959",202,"A",276,NA,NA,TRUE,NA,NA,NA,235.3,24.7,FALSE,TRUE,24.7,0,NA,20,"SC10","idling"
"960",8,"A",93,NA,NA,NA,59,NA,NA,170.7,28.3,FALSE,FALSE,17,11.3,NA,20,"SC10","idling"
"961",11,"B",90,NA,NA,NA,75,NA,NA,171.7,26.3,FALSE,FALSE,21.3,5,NA,20,"SC10","idling"
"962",11,"B",120,NA,NA,NA,80,NA,NA,171.7,36.3,FALSE,FALSE,23,13.3,NA,20,"SC10","idling"
"963",16,"A",117,NA,NA,NA,81,NA,NA,173.3,33.7,FALSE,FALSE,21.7,12,NA,20,"SC10","idling"
"964",23,"A",126,NA,NA,NA,91,NA,NA,175.7,34.3,FALSE,FALSE,22.7,11.7,NA,20,"SC10","idling"
"965",28,"A",121,NA,NA,NA,99,NA,NA,177.3,31,FALSE,FALSE,23.7,7.3,NA,20,"SC10","idling"
"966",34,"A",170,NA,NA,NA,127,NA,NA,179.3,45.3,FALSE,FALSE,31,14.3,NA,20,"SC10","idling"
"967",43,"A",139,NA,NA,NA,101,NA,NA,182.3,32,FALSE,FALSE,19.3,12.7,NA,20,"SC10","idling"
"968",46,"B",364,NA,NA,NA,132,NA,NA,183.3,106,FALSE,FALSE,28.7,77.3,NA,20,"SC10","idling"
"969",54,"A",121,NA,NA,NA,93,NA,NA,186,22.3,FALSE,FALSE,13,9.3,NA,20,"SC10","idling"
"970",60,"A",142,NA,NA,NA,110,NA,NA,188,27.3,FALSE,FALSE,16.7,10.7,NA,20,"SC10","idling"
"971",65,"C",191,NA,NA,NA,149,NA,NA,189.7,42,FALSE,FALSE,28,14,NA,20,"SC10","idling"
"972",66,"B",181,NA,NA,NA,135,NA,NA,190,38.3,FALSE,FALSE,23,15.3,NA,20,"SC10","idling"
"973",86,"A",173,NA,NA,NA,135,NA,NA,196.7,29,FALSE,FALSE,16.3,12.7,NA,20,"SC10","idling"
"974",86,"A",173,NA,NA,NA,135,NA,NA,196.7,29,FALSE,FALSE,16.3,12.7,NA,20,"SC10","idling"
"975",103,"A",270,NA,NA,NA,155,NA,NA,202.3,55.7,FALSE,FALSE,17.3,38.3,NA,20,"SC10","idling"
"976",165,"A",254,NA,NA,NA,240,NA,NA,223,29.7,FALSE,FALSE,25,4.7,NA,20,"SC10","idling"
"977",168,"A",256,NA,NA,NA,220,NA,NA,224,29.3,FALSE,FALSE,17.3,12,NA,20,"SC10","idling"
"978",168,"A",312,NA,NA,NA,294,NA,NA,224,48,FALSE,FALSE,42,6,NA,20,"SC10","idling"
"979",168,"A",311,NA,NA,NA,279,NA,NA,224,47.7,FALSE,FALSE,37,10.7,NA,20,"SC10","idling"
"980",199,"A",283,NA,NA,NA,256,NA,NA,234.3,28,FALSE,FALSE,19,9,NA,20,"SC10","idling"
"981",199,"A",312,NA,NA,NA,279,NA,NA,234.3,37.7,FALSE,FALSE,26.7,11,NA,20,"SC10","idling"
"982",265,"A",344,NA,NA,NA,309,NA,NA,256.3,26.3,FALSE,FALSE,14.7,11.7,NA,20,"SC10","idling"
"983",265,"A",344,NA,NA,NA,309,NA,NA,256.3,26.3,FALSE,FALSE,14.7,11.7,NA,20,"SC10","idling"
"984",283,"A",359,NA,NA,NA,336,NA,NA,262.3,25.3,FALSE,FALSE,17.7,7.7,NA,20,"SC10","idling"
