"","pre","post"
"1",0.0357916295603697,-0.02
"2",0.0372374641335992,-0.0193
"3",0.0261844618607346,-0.0206
"4",0.032737073547492,-0.0197
"5",0.0533099003940854,-0.0185
"6",0.036756286547628,-0.0174
"7",0.0188837321521106,-0.0108
"8",0.0306100860500895,-0.0171
"9",0.0414498363090062,-8e-04
"10",0.0359524750054271,-2e-04
"11",0.0377754292505024,0.0014
"12",0.0358767085703944,0.0028
"13",0.0362531855914948,-6e-04
"14",0.0363839505593396,-6e-04
"15",0.0313034178290264,0.0019
"16",0.0330473639775751,0.003
"17",0.0417620919309257,0.0115
"18",0.0446898626298255,0.0113
"19",0.041512105491828,0.008
"20",0.060361231537165,0.0094
"21",0.0460609454358485,0.0065
"22",0.0322196792674958,0.0063
"23",0.0440446481479473,0.0106
"24",0.029011184063123,0.0113
"25",0.0338322347388822,0.00921939199144437
"26",0.0308246474246401,-0.000770207577605274
"27",0.0226481040798601,-0.00550683114503603
"28",0.0323676045327284,0.0111380428453582
"29",0.0297944958820856,-0.00248184489445469
"30",0.0202028875511828,-0.0038727922978887
