"","Slice","Count","l2","Time","day","cID","nl2","Cell","conc","drug"
"51","WellR02-C03H2B_day2",11,3.4594316186373,-100.3244,-2,5,-1.18442457113743,"SC01",8,"plx"
"52","WellR02-C03H2B_day3",15,3.90689059560852,-45.9536,-1,5,-0.736965594166206,"SC01",8,"plx"
"53","WellR02-C03H2B_day4",25,4.64385618977472,0,0,5,0,"SC01",8,"plx"
"54","WellR02-C03H2B_day5",24,4.58496250072116,17.6897,1,5,-0.0588936890535683,"SC01",8,"plx"
"55","WellR02-C03H2B_day6",2,1,49.4008,2,5,-3.64385618977472,"SC01",8,"plx"
"56","WellR02-C03H2B_day7",1,0,67.66,3,5,-4.64385618977472,"SC01",8,"plx"
"57","WellR02-C03H2B_day8",1,0,98.6242,4,5,-4.64385618977472,"SC01",8,"plx"
"58","WellR02-C03H2B_day9",1,0,140.8703,5,5,-4.64385618977472,"SC01",8,"plx"
"59","WellR02-C03H2B_day10",1,0,168.3842,6,5,-4.64385618977472,"SC01",8,"plx"
"60","WellR02-C03H2B_day11",1,0,235.0925,7,5,-4.64385618977472,"SC01",8,"plx"
"61","WellR02-C04H2B_day0",4,2,-169.1575,-4,6,-4.91886323727459,"SC01",8,"plx"
"62","WellR02-C04H2B_day1",13,3.70043971814109,-124.1042,-3,6,-3.2184235191335,"SC01",8,"plx"
"63","WellR02-C04H2B_day2",14,3.8073549220576,-100.3244,-2,6,-3.11150831521699,"SC01",8,"plx"
"64","WellR02-C04H2B_day3",55,5.78135971352466,-45.9536,-1,6,-1.13750352374993,"SC01",8,"plx"
"65","WellR02-C04H2B_day4",121,6.91886323727459,0,0,6,0,"SC01",8,"plx"
"66","WellR02-C04H2B_day5",76,6.24792751344359,17.6897,1,6,-0.670935723831009,"SC01",8,"plx"
"67","WellR02-C04H2B_day6",60,5.90689059560852,49.4008,2,6,-1.01197264166608,"SC01",8,"plx"
"68","WellR02-C04H2B_day7",57,5.83289001416474,67.66,3,6,-1.08597322310985,"SC01",8,"plx"
"69","WellR02-C04H2B_day8",29,4.85798099512757,98.6242,4,6,-2.06088224214702,"SC01",8,"plx"
"70","WellR02-C04H2B_day9",19,4.24792751344359,140.8703,5,6,-2.67093572383101,"SC01",8,"plx"
"71","WellR02-C04H2B_day10",29,4.85798099512757,168.3842,6,6,-2.06088224214702,"SC01",8,"plx"
"72","WellR02-C04H2B_day11",2,1,235.0925,7,6,-5.91886323727459,"SC01",8,"plx"
"73","WellR02-C04H2B_day0",7,2.8073549220576,-169.1575,-4,7,-4,"SC01",8,"plx"
"74","WellR02-C04H2B_day1",13,3.70043971814109,-124.1042,-3,7,-3.10691520391651,"SC01",8,"plx"
"75","WellR02-C04H2B_day2",20,4.32192809488736,-100.3244,-2,7,-2.48542682717024,"SC01",8,"plx"
"76","WellR02-C04H2B_day3",52,5.70043971814109,-45.9536,-1,7,-1.10691520391651,"SC01",8,"plx"
"77","WellR02-C04H2B_day4",112,6.8073549220576,0,0,7,0,"SC01",8,"plx"
"78","WellR02-C04H2B_day5",117,6.8703647195834,17.6897,1,7,0.063009797525801,"SC01",8,"plx"
"79","WellR02-C04H2B_day6",98,6.61470984411521,49.4008,2,7,-0.192645077942395,"SC01",8,"plx"
"80","WellR02-C04H2B_day7",100,6.64385618977472,67.66,3,7,-0.163498732282879,"SC01",8,"plx"
"81","WellR02-C04H2B_day8",58,5.85798099512757,98.6242,4,7,-0.949373926930032,"SC01",8,"plx"
"82","WellR02-C04H2B_day9",56,5.8073549220576,140.8703,5,7,-1,"SC01",8,"plx"
"83","WellR02-C04H2B_day10",62,5.95419631038687,168.3842,6,7,-0.853158611670729,"SC01",8,"plx"
"84","WellR02-C04H2B_day11",23,4.52356195605701,235.0925,7,7,-2.28379296600059,"SC01",8,"plx"
"85","WellR02-C04H2B_day0",1,0,-169.1575,-4,8,-6,"SC01",8,"plx"
"86","WellR02-C04H2B_day1",3,1.58496250072116,-124.1042,-3,8,-4.41503749927884,"SC01",8,"plx"
"87","WellR02-C04H2B_day2",10,3.32192809488736,-100.3244,-2,8,-2.67807190511264,"SC01",8,"plx"
"88","WellR02-C04H2B_day3",13,3.70043971814109,-45.9536,-1,8,-2.29956028185891,"SC01",8,"plx"
"89","WellR02-C04H2B_day4",64,6,0,0,8,0,"SC01",8,"plx"
"90","WellR02-C04H2B_day5",49,5.61470984411521,17.6897,1,8,-0.385290155884792,"SC01",8,"plx"
"91","WellR02-C04H2B_day6",63,5.97727992349992,49.4008,2,8,-0.0227200765000832,"SC01",8,"plx"
"92","WellR02-C04H2B_day7",60,5.90689059560852,67.66,3,8,-0.0931094043914813,"SC01",8,"plx"
"93","WellR02-C04H2B_day8",63,5.97727992349992,98.6242,4,8,-0.0227200765000832,"SC01",8,"plx"
"94","WellR02-C04H2B_day9",74,6.20945336562895,140.8703,5,8,0.20945336562895,"SC01",8,"plx"
"95","WellR02-C04H2B_day10",98,6.61470984411521,168.3842,6,8,0.614709844115208,"SC01",8,"plx"
"96","WellR02-C04H2B_day11",93,6.53915881110803,235.0925,7,8,0.539158811108031,"SC01",8,"plx"
"97","WellR02-C04H2B_day0",3,1.58496250072116,-169.1575,-4,9,-3.96962635095648,"SC01",8,"plx"
"98","WellR02-C04H2B_day1",7,2.8073549220576,-124.1042,-3,9,-2.74723392962003,"SC01",8,"plx"
"99","WellR02-C04H2B_day2",7,2.8073549220576,-100.3244,-2,9,-2.74723392962003,"SC01",8,"plx"
"100","WellR02-C04H2B_day3",26,4.70043971814109,-45.9536,-1,9,-0.854149133536546,"SC01",8,"plx"
"101","WellR02-C04H2B_day4",47,5.55458885167764,0,0,9,0,"SC01",8,"plx"
"102","WellR02-C04H2B_day5",44,5.4594316186373,17.6897,1,9,-0.0951572330403403,"SC01",8,"plx"
"103","WellR02-C04H2B_day6",11,3.4594316186373,49.4008,2,9,-2.09515723304034,"SC01",8,"plx"
"104","WellR02-C04H2B_day7",6,2.58496250072116,67.66,3,9,-2.96962635095648,"SC01",8,"plx"
"105","WellR02-C04H2B_day8",2,1,98.6242,4,9,-4.55458885167764,"SC01",8,"plx"
"106","WellR02-C04H2B_day9",1,0,140.8703,5,9,-5.55458885167764,"SC01",8,"plx"
"107","WellR02-C04H2B_day10",5,2.32192809488736,168.3842,6,9,-3.23266075679028,"SC01",8,"plx"
"108","WellR02-C04H2B_day11",1,0,235.0925,7,9,-5.55458885167764,"SC01",8,"plx"
"109","WellR02-C04H2B_day0",1,0,-169.1575,-4,10,-5.32192809488736,"SC01",8,"plx"
"110","WellR02-C04H2B_day1",10,3.32192809488736,-124.1042,-3,10,-2,"SC01",8,"plx"
"111","WellR02-C04H2B_day2",8,3,-100.3244,-2,10,-2.32192809488736,"SC01",8,"plx"
"112","WellR02-C04H2B_day3",23,4.52356195605701,-45.9536,-1,10,-0.79836613883035,"SC01",8,"plx"
"113","WellR02-C04H2B_day4",40,5.32192809488736,0,0,10,0,"SC01",8,"plx"
"114","WellR02-C04H2B_day5",55,5.78135971352466,17.6897,1,10,0.459431618637297,"SC01",8,"plx"
"115","WellR02-C04H2B_day6",28,4.8073549220576,49.4008,2,10,-0.514573172829759,"SC01",8,"plx"
"116","WellR02-C04H2B_day7",39,5.28540221886225,67.66,3,10,-0.0365258760251139,"SC01",8,"plx"
"117","WellR02-C04H2B_day8",40,5.32192809488736,98.6242,4,10,0,"SC01",8,"plx"
"118","WellR02-C04H2B_day9",23,4.52356195605701,140.8703,5,10,-0.79836613883035,"SC01",8,"plx"
"119","WellR02-C04H2B_day10",16,4,168.3842,6,10,-1.32192809488736,"SC01",8,"plx"
"120","WellR02-C04H2B_day11",9,3.16992500144231,235.0925,7,10,-2.15200309344505,"SC01",8,"plx"
"121","WellR02-C04H2B_day0",1,0,-169.1575,-4,11,-4.32192809488736,"SC01",8,"plx"
"122","WellR02-C04H2B_day1",1,0,-124.1042,-3,11,-4.32192809488736,"SC01",8,"plx"
"123","WellR02-C04H2B_day2",3,1.58496250072116,-100.3244,-2,11,-2.73696559416621,"SC01",8,"plx"
"124","WellR02-C04H2B_day3",12,3.58496250072116,-45.9536,-1,11,-0.736965594166207,"SC01",8,"plx"
"125","WellR02-C04H2B_day4",20,4.32192809488736,0,0,11,0,"SC01",8,"plx"
"126","WellR02-C04H2B_day5",25,4.64385618977472,17.6897,1,11,0.321928094887362,"SC01",8,"plx"
"127","WellR02-C04H2B_day6",14,3.8073549220576,49.4008,2,11,-0.514573172829758,"SC01",8,"plx"
"128","WellR02-C04H2B_day7",5,2.32192809488736,67.66,3,11,-2,"SC01",8,"plx"
"129","WellR02-C04H2B_day8",2,1,98.6242,4,11,-3.32192809488736,"SC01",8,"plx"
"130","WellR02-C04H2B_day9",1,0,140.8703,5,11,-4.32192809488736,"SC01",8,"plx"
"131","WellR02-C04H2B_day10",1,0,168.3842,6,11,-4.32192809488736,"SC01",8,"plx"
"132","WellR02-C04H2B_day11",1,0,235.0925,7,11,-4.32192809488736,"SC01",8,"plx"
"133","WellR02-C04H2B_day0",2,1,-169.1575,-4,12,-3,"SC01",8,"plx"
"134","WellR02-C04H2B_day1",4,2,-124.1042,-3,12,-2,"SC01",8,"plx"
"135","WellR02-C04H2B_day2",9,3.16992500144231,-100.3244,-2,12,-0.830074998557688,"SC01",8,"plx"
"136","WellR02-C04H2B_day3",7,2.8073549220576,-45.9536,-1,12,-1.1926450779424,"SC01",8,"plx"
"137","WellR02-C04H2B_day4",16,4,0,0,12,0,"SC01",8,"plx"
"138","WellR02-C04H2B_day5",19,4.24792751344359,17.6897,1,12,0.247927513443585,"SC01",8,"plx"
"139","WellR02-C04H2B_day6",18,4.16992500144231,49.4008,2,12,0.169925001442312,"SC01",8,"plx"
"140","WellR02-C04H2B_day7",27,4.75488750216347,67.66,3,12,0.754887502163468,"SC01",8,"plx"
"141","WellR02-C04H2B_day8",23,4.52356195605701,98.6242,4,12,0.523561956057013,"SC01",8,"plx"
"142","WellR02-C04H2B_day9",18,4.16992500144231,140.8703,5,12,0.169925001442312,"SC01",8,"plx"
"143","WellR02-C04H2B_day10",18,4.16992500144231,168.3842,6,12,0.169925001442312,"SC01",8,"plx"
"144","WellR02-C04H2B_day11",12,3.58496250072116,235.0925,7,12,-0.415037499278844,"SC01",8,"plx"
"145","WellR02-C05H2B_day0",1,0,-169.1575,-4,13,-5.28540221886225,"SC01",8,"plx"
"146","WellR02-C05H2B_day1",4,2,-124.1042,-3,13,-3.28540221886225,"SC01",8,"plx"
"147","WellR02-C05H2B_day2",8,3,-100.3244,-2,13,-2.28540221886225,"SC01",8,"plx"
"148","WellR02-C05H2B_day3",19,4.24792751344359,-45.9536,-1,13,-1.03747470541866,"SC01",8,"plx"
"149","WellR02-C05H2B_day4",39,5.28540221886225,0,0,13,0,"SC01",8,"plx"
"150","WellR02-C05H2B_day5",42,5.39231742277876,17.6897,1,13,0.106915203916512,"SC01",8,"plx"
"151","WellR02-C05H2B_day6",24,4.58496250072116,49.4008,2,13,-0.700439718141093,"SC01",8,"plx"
"152","WellR02-C05H2B_day7",24,4.58496250072116,67.66,3,13,-0.700439718141093,"SC01",8,"plx"
"153","WellR02-C05H2B_day8",8,3,98.6242,4,13,-2.28540221886225,"SC01",8,"plx"
"154","WellR02-C05H2B_day9",10,3.32192809488736,140.8703,5,13,-1.96347412397489,"SC01",8,"plx"
"155","WellR02-C05H2B_day10",11,3.4594316186373,168.3842,6,13,-1.82597060022495,"SC01",8,"plx"
"156","WellR02-C05H2B_day11",9,3.16992500144231,235.0925,7,13,-2.11547721741994,"SC01",8,"plx"
"157","WellR02-C05H2B_day0",3,1.58496250072116,-169.1575,-4,14,-4.4594316186373,"SC01",8,"plx"
"158","WellR02-C05H2B_day1",11,3.4594316186373,-124.1042,-3,14,-2.58496250072116,"SC01",8,"plx"
"159","WellR02-C05H2B_day2",13,3.70043971814109,-100.3244,-2,14,-2.34395440121736,"SC01",8,"plx"
"160","WellR02-C05H2B_day3",51,5.6724253419715,-45.9536,-1,14,-0.371968777386958,"SC01",8,"plx"
"161","WellR02-C05H2B_day4",66,6.04439411935845,0,0,14,0,"SC01",8,"plx"
"162","WellR02-C05H2B_day5",66,6.04439411935845,17.6897,1,14,0,"SC01",8,"plx"
"163","WellR02-C05H2B_day6",32,5,49.4008,2,14,-1.04439411935845,"SC01",8,"plx"
"164","WellR02-C05H2B_day7",18,4.16992500144231,67.66,3,14,-1.87446911791614,"SC01",8,"plx"
"165","WellR02-C05H2B_day8",3,1.58496250072116,98.6242,4,14,-4.4594316186373,"SC01",8,"plx"
"166","WellR02-C05H2B_day9",6,2.58496250072116,140.8703,5,14,-3.4594316186373,"SC01",8,"plx"
"167","WellR02-C05H2B_day10",12,3.58496250072116,168.3842,6,14,-2.4594316186373,"SC01",8,"plx"
"168","WellR02-C05H2B_day11",7,2.8073549220576,235.0925,7,14,-3.23703919730085,"SC01",8,"plx"
"169","WellR02-C05H2B_day0",2,1,-169.1575,-4,15,-5.04439411935845,"SC01",8,"plx"
"170","WellR02-C05H2B_day1",5,2.32192809488736,-124.1042,-3,15,-3.72246602447109,"SC01",8,"plx"
"171","WellR02-C05H2B_day2",12,3.58496250072116,-100.3244,-2,15,-2.4594316186373,"SC01",8,"plx"
"172","WellR02-C05H2B_day3",25,4.64385618977472,-45.9536,-1,15,-1.40053792958373,"SC01",8,"plx"
"173","WellR02-C05H2B_day4",66,6.04439411935845,0,0,15,0,"SC01",8,"plx"
"174","WellR02-C05H2B_day5",64,6,17.6897,1,15,-0.0443941193584534,"SC01",8,"plx"
"175","WellR02-C05H2B_day6",51,5.6724253419715,49.4008,2,15,-0.371968777386958,"SC01",8,"plx"
"176","WellR02-C05H2B_day7",57,5.83289001416474,67.66,3,15,-0.211504105193712,"SC01",8,"plx"
"177","WellR02-C05H2B_day8",21,4.39231742277876,98.6242,4,15,-1.65207669657969,"SC01",8,"plx"
"178","WellR02-C05H2B_day9",8,3,140.8703,5,15,-3.04439411935845,"SC01",8,"plx"
"179","WellR02-C05H2B_day10",10,3.32192809488736,168.3842,6,15,-2.72246602447109,"SC01",8,"plx"
"180","WellR02-C05H2B_day11",2,1,235.0925,7,15,-5.04439411935845,"SC01",8,"plx"
"181","WellR02-C05H2B_day0",2,1,-169.1575,-4,16,-5.10852445677817,"SC01",8,"plx"
"182","WellR02-C05H2B_day1",6,2.58496250072116,-124.1042,-3,16,-3.52356195605701,"SC01",8,"plx"
"183","WellR02-C05H2B_day2",10,3.32192809488736,-100.3244,-2,16,-2.78659636189081,"SC01",8,"plx"
"184","WellR02-C05H2B_day3",20,4.32192809488736,-45.9536,-1,16,-1.78659636189081,"SC01",8,"plx"
"185","WellR02-C05H2B_day4",69,6.10852445677817,0,0,16,0,"SC01",8,"plx"
"186","WellR02-C05H2B_day5",63,5.97727992349992,17.6897,1,16,-0.131244533278252,"SC01",8,"plx"
"187","WellR02-C05H2B_day6",39,5.28540221886225,49.4008,2,16,-0.82312223791592,"SC01",8,"plx"
"188","WellR02-C05H2B_day7",45,5.49185309632967,67.66,3,16,-0.616671360448494,"SC01",8,"plx"
"189","WellR02-C05H2B_day8",42,5.39231742277876,98.6242,4,16,-0.716207033999408,"SC01",8,"plx"
"190","WellR02-C05H2B_day9",54,5.75488750216347,140.8703,5,16,-0.353636954614701,"SC01",8,"plx"
"191","WellR02-C05H2B_day10",51,5.6724253419715,168.3842,6,16,-0.436099114806674,"SC01",8,"plx"
"192","WellR02-C05H2B_day11",26,4.70043971814109,235.0925,7,16,-1.40808473863708,"SC01",8,"plx"
"193","WellR02-C05H2B_day0",3,1.58496250072116,-169.1575,-4,17,-4.58496250072116,"SC01",8,"plx"
"194","WellR02-C05H2B_day1",4,2,-124.1042,-3,17,-4.16992500144231,"SC01",8,"plx"
"195","WellR02-C05H2B_day2",9,3.16992500144231,-100.3244,-2,17,-3,"SC01",8,"plx"
"196","WellR02-C05H2B_day3",34,5.08746284125034,-45.9536,-1,17,-1.08246216019197,"SC01",8,"plx"
"197","WellR02-C05H2B_day4",72,6.16992500144231,0,0,17,0,"SC01",8,"plx"
"198","WellR02-C05H2B_day5",34,5.08746284125034,17.6897,1,17,-1.08246216019197,"SC01",8,"plx"
"199","WellR02-C05H2B_day6",16,4,49.4008,2,17,-2.16992500144231,"SC01",8,"plx"
"200","WellR02-C05H2B_day7",22,4.4594316186373,67.66,3,17,-1.71049338280501,"SC01",8,"plx"
"201","WellR02-C05H2B_day8",7,2.8073549220576,98.6242,4,17,-3.36257007938471,"SC01",8,"plx"
"202","WellR02-C05H2B_day9",4,2,140.8703,5,17,-4.16992500144231,"SC01",8,"plx"
"203","WellR02-C05H2B_day10",9,3.16992500144231,168.3842,6,17,-3,"SC01",8,"plx"
"204","WellR02-C05H2B_day11",1,0,235.0925,7,17,-6.16992500144231,"SC01",8,"plx"
"205","WellR02-C05H2B_day0",2,1,-169.1575,-4,18,-4.61470984411521,"SC01",8,"plx"
"206","WellR02-C05H2B_day1",2,1,-124.1042,-3,18,-4.61470984411521,"SC01",8,"plx"
"207","WellR02-C05H2B_day2",7,2.8073549220576,-100.3244,-2,18,-2.8073549220576,"SC01",8,"plx"
"208","WellR02-C05H2B_day3",17,4.08746284125034,-45.9536,-1,18,-1.52724700286487,"SC01",8,"plx"
"209","WellR02-C05H2B_day4",49,5.61470984411521,0,0,18,0,"SC01",8,"plx"
"210","WellR02-C05H2B_day5",22,4.4594316186373,17.6897,1,18,-1.15527822547791,"SC01",8,"plx"
"211","WellR02-C05H2B_day6",8,3,49.4008,2,18,-2.61470984411521,"SC01",8,"plx"
"212","WellR02-C05H2B_day7",5,2.32192809488736,67.66,3,18,-3.29278174922785,"SC01",8,"plx"
"213","WellR02-C05H2B_day8",1,0,98.6242,4,18,-5.61470984411521,"SC01",8,"plx"
"214","WellR02-C05H2B_day9",2,1,140.8703,5,18,-4.61470984411521,"SC01",8,"plx"
"215","WellR02-C05H2B_day10",3,1.58496250072116,168.3842,6,18,-4.02974734339405,"SC01",8,"plx"
"216","WellR02-C05H2B_day11",1,0,235.0925,7,18,-5.61470984411521,"SC01",8,"plx"
"217","WellR02-C06H2B_day0",1,0,-169.1575,-4,19,-5.49185309632967,"SC01",8,"plx"
