"","Time","cID","drug","l2","nl2","conc"
"101",0,1,"plx",11.7981840133417,0,8
"102",18.1267,1,"plx",12.1469915681074,0.348807554765729,8
"103",24.96,1,"plx",11.9912959906886,0.193111977346893,8
"104",41.8864,1,"plx",11.3211269532617,-0.477057060080059,8
"105",49.2022,1,"plx",11.2397397490332,-0.558444264308525,8
"106",63.8775,1,"plx",11.2750190449838,-0.523164968357875,8
"107",65.9433,1,"plx",11.0717346657252,-0.726449347616505,8
"108",86.7494,1,"plx",11.2954555604112,-0.50272845293053,8
"109",97.0783,1,"plx",11.2365426448468,-0.561641368494886,8
"110",115.1325,1,"plx",11.1063793584433,-0.691804654898396,8
"111",0,3,"plx",11.9299951721094,0,8
"112",18.1267,3,"plx",12.2854091832331,0.355414011123694,8
"113",24.96,3,"plx",12.2912866370443,0.361291464934883,8
"114",41.8864,3,"plx",12.3641745392876,0.43417936717819,8
"115",49.2022,3,"plx",12.4532426976528,0.523247525543349,8
"116",63.8775,3,"plx",12.7082895247622,0.77829435265282,8
"117",65.9433,3,"plx",12.6117283247817,0.681733152672267,8
"118",86.7494,3,"plx",13.0030633509314,1.07306817882201,8
"119",97.0783,3,"plx",13.1039761805218,1.17398100841236,8
"120",115.1325,3,"plx",13.2140305170621,1.28403534495269,8
"121",0,4,"plx",11.5850892910537,0,8
"122",18.1267,4,"plx",11.9099703895017,0.324881098447975,8
"123",24.96,4,"plx",11.8343840418868,0.249294750833087,8
"124",41.8864,4,"plx",11.4296116240812,-0.155477666972445,8
"125",49.2022,4,"plx",11.3251215280067,-0.259967763046994,8
"126",63.8775,4,"plx",11.2812923610442,-0.303796930009451,8
"127",65.9433,4,"plx",11.0014692920162,-0.583619999037458,8
"128",86.7494,4,"plx",11.2625212776243,-0.322568013429386,8
"129",97.0783,4,"plx",11.2102720299616,-0.374817261092099,8
"130",115.1325,4,"plx",11.1166054061099,-0.468483884943824,8
"131",0,7,"plx",13.273516060086,0,8
"132",18.1267,7,"plx",13.5137803925611,0.240264332475098,8
"133",24.96,7,"plx",13.5169822149868,0.24346615490083,8
"134",41.8864,7,"plx",13.5170467124702,0.243530652384175,8
"135",49.2022,7,"plx",13.5241338761872,0.250617816101247,8
"136",63.8775,7,"plx",13.6279993719096,0.354483311823614,8
"137",65.9433,7,"plx",13.5515147075728,0.27799864748679,8
"138",86.7494,7,"plx",13.7310052398169,0.457489179730871,8
"139",97.0783,7,"plx",13.9188707052798,0.645354645193853,8
"140",115.1325,7,"plx",14.0533354498608,0.779819389774838,8
"141",0,8,"plx",12.3949828278736,0,8
"142",18.1267,8,"plx",12.6652825236639,0.270299695790294,8
"143",24.96,8,"plx",12.6504619979686,0.25547917009504,8
"144",41.8864,8,"plx",12.3170899139737,-0.0778929138998876,8
"145",49.2022,8,"plx",12.3439267305297,-0.0510560973438743,8
"146",63.8775,8,"plx",12.5694255589997,0.174442731126117,8
"147",65.9433,8,"plx",12.359663876527,-0.0353189513466337,8
"148",86.7494,8,"plx",12.5663325466557,0.171349718782075,8
"149",97.0783,8,"plx",12.681542107237,0.286559279363392,8
"150",115.1325,8,"plx",12.7266216621799,0.331638834306318,8
"151",0,10,"plx",12.5813144163889,0,8
"152",18.1267,10,"plx",12.9210329219973,0.339718505608481,8
"153",24.96,10,"plx",12.9923712856717,0.411056869282886,8
"154",41.8864,10,"plx",13.2414780714552,0.660163655066334,8
"155",49.2022,10,"plx",13.3433039831486,0.761989566759777,8
"156",63.8775,10,"plx",13.5845938435811,1.00327942719222,8
"157",65.9433,10,"plx",13.5235932090458,0.942278792656966,8
"158",86.7494,10,"plx",13.8358840852139,1.25456966882502,8
"159",97.0783,10,"plx",13.9381846450955,1.3568702287066,8
"160",115.1325,10,"plx",14.0229189072983,1.44160449090941,8
"161",0,11,"plx",11.9418471161493,0,8
"162",18.1267,11,"plx",12.2236224128217,0.281775296672407,8
"163",24.96,11,"plx",12.2094652172254,0.267618101076025,8
"164",41.8864,11,"plx",12.1794922556875,0.237645139538213,8
"165",49.2022,11,"plx",12.3041006235731,0.362253507423741,8
"166",63.8775,11,"plx",12.6153896368052,0.673542520655912,8
"167",65.9433,11,"plx",12.485446345654,0.543599229504659,8
"168",86.7494,11,"plx",12.8870518702958,0.945204754146467,8
"169",97.0783,11,"plx",13.0214990282873,1.07965191213802,8
"170",115.1325,11,"plx",13.2192842182371,1.27743710208774,8
"171",0,13,"plx",10.3560408347334,0,8
"172",18.1267,13,"plx",10.4592721487335,0.103231314000004,8
"173",24.96,13,"plx",10.4092062997966,0.0531654650631861,8
"174",41.8864,13,"plx",10.1836830254268,-0.172357809306645,8
"175",49.2022,13,"plx",10.1609026031973,-0.195138231536108,8
"176",63.8775,13,"plx",10.2484881500794,-0.107552684654078,8
"177",65.9433,13,"plx",9.6647325279442,-0.691308306789248,8
"178",86.7494,13,"plx",10.0596695719898,-0.296371262743623,8
"179",97.0783,13,"plx",10.1656840184516,-0.190356816281811,8
"180",115.1325,13,"plx",10.2746580665729,-0.0813827681605908,8
"181",0,15,"plx",10.3909021424691,0,8
"182",18.1267,15,"plx",10.6401256979796,0.249223555510437,8
"183",24.96,15,"plx",10.6294715879426,0.238569445473459,8
"184",41.8864,15,"plx",10.3874796944389,-0.00342244803023739,8
"185",49.2022,15,"plx",10.2957973128389,-0.0951048296302446,8
"186",63.8775,15,"plx",10.3254835762923,-0.0654185661767954,8
"187",65.9433,15,"plx",10.0256229829682,-0.365279159500966,8
"188",86.7494,15,"plx",10.372118858161,-0.0187832843081495,8
"189",97.0783,15,"plx",10.4400390348862,0.0491368924170494,8
"190",115.1325,15,"plx",10.4440159862261,0.0531138437569751,8
"191",0,16,"plx",12.026631938567,0,8
"192",18.1267,16,"plx",12.2856533599028,0.259021421335779,8
"193",24.96,16,"plx",12.1556307216333,0.128998783066292,8
"194",41.8864,16,"plx",11.6735531657194,-0.353078772847594,8
"195",49.2022,16,"plx",11.7780913691733,-0.24854056939369,8
"196",63.8775,16,"plx",11.8360713799325,-0.19056055863445,8
"197",65.9433,16,"plx",11.6180842882065,-0.40854765036053,8
"198",86.7494,16,"plx",11.959775210552,-0.0668567280150274,8
"199",97.0783,16,"plx",11.8844818815868,-0.142150056980181,8
"200",115.1325,16,"plx",11.8884481572714,-0.138183781295631,8
"79",0,2,"plx",10.386273605434,0,8
"80",22.8997,2,"plx",10.6735120023529,0.287238396918854,8
"81",31.1158,2,"plx",10.5154652705507,0.129191665116652,8
"82",48.375,2,"plx",10.3640409451059,-0.0222326603280933,8
"83",73.4488,2,"plx",10.60548100685,0.219207401416034,8
"84",79.5313,2,"plx",10.637217933063,0.250944327628989,8
"85",92.6794,2,"plx",10.7366273804088,0.350353774974851,8
"86",100.0177,2,"plx",10.7768997347656,0.390626129331592,8
"87",121.0747,2,"plx",10.9411828942871,0.554909288853079,8
"88",127.1852,2,"plx",10.9681576700965,0.581884064662496,8
"90",0,5,"plx",7.93893440212291,0,8
"91",22.8997,5,"plx",7.92761885805255,-0.0113155440703645,8
"92",31.1158,5,"plx",7.79228608897231,-0.146648313150605,8
"93",48.375,5,"plx",7.60312154586434,-0.335812856258574,8
"94",73.4488,5,"plx",7.67115117868447,-0.267783223438445,8
"95",79.5313,5,"plx",7.70536759370614,-0.233566808416773,8
"96",92.6794,5,"plx",7.83245039593597,-0.106484006186943,8
"97",100.0177,5,"plx",7.79319909943931,-0.145735302683603,8
"98",121.0747,5,"plx",7.88670495148372,-0.0522294506391923,8
"99",127.1852,5,"plx",7.93054151914235,-0.00839288298055862,8
"1011",0,6,"plx",8.46378519059429,0,8
"1021",22.8997,6,"plx",8.66652643019917,0.202741239604874,8
"1031",31.1158,6,"plx",8.61283863660722,0.149053446012926,8
"1041",48.375,6,"plx",8.660371319214,0.196586128619703,8
"1051",73.4488,6,"plx",8.99064705015158,0.526861859557288,8
"1061",79.5313,6,"plx",9.05848392814793,0.594698737553637,8
"1071",92.6794,6,"plx",9.20889705999089,0.745111869396593,8
"1081",100.0177,6,"plx",9.13625010748157,0.67246491688728,8
"1091",121.0747,6,"plx",9.24770869310952,0.783923502515222,8
"1101",127.1852,6,"plx",9.30601411791294,0.842228927318645,8
"1121",0,9,"plx",9.49848241899947,0,8
"1131",22.8997,9,"plx",9.63308067725889,0.134598258259418,8
"1141",31.1158,9,"plx",9.49876692759417,0.000284508594706523,8
"1151",48.375,9,"plx",9.5522414944938,0.053759075494332,8
"1161",73.4488,9,"plx",9.78744992376689,0.288967504767419,8
"1171",79.5313,9,"plx",9.80358035871744,0.305097939717971,8
"1181",92.6794,9,"plx",9.95307004910796,0.454587630108495,8
"1191",100.0177,9,"plx",10.2433985569672,0.744916137967719,8
"1201",121.0747,9,"plx",10.2566758821352,0.758193463135727,8
"1211",127.1852,9,"plx",10.3135628257555,0.815080406756072,8
"1231",0,12,"plx",9.08793227519207,0,8
"1241",22.8997,12,"plx",9.77712507092445,0.689192795732387,8
"1251",31.1158,12,"plx",9.639311111015,0.551378835822934,8
"1261",48.375,12,"plx",9.77027717205843,0.682344896866365,8
"1271",73.4488,12,"plx",9.741892425792,0.653960150599938,8
"1281",79.5313,12,"plx",9.76405684636384,0.676124571171776,8
"1291",92.6794,12,"plx",9.85397620212699,0.766043926934923,8
"1301",100.0177,12,"plx",9.7985655648228,0.71063328963073,8
"1311",121.0747,12,"plx",9.8167961789749,0.728863903782837,8
"1321",127.1852,12,"plx",9.83514792895007,0.747215653758003,8
