"","Date","CellLine","Row","Cell.Nucleus","Well","Time","drug","conc","rep","l2","nl2"
"1","20170301","Parental","B",1372,"B02",0,"vemurafenib",0,1,10.4220647661728,0
"61","20170301","Parental","B",1746,"B02",15.6414,"vemurafenib",0,1,10.7698378436294,0.347773077456628
"121","20170301","Parental","B",1944,"B02",23.0633,"vemurafenib",0,1,10.9248125036058,0.502747737432967
"181","20170301","Parental","B",2967,"B02",41.4258,"vemurafenib",0,1,11.5347892114803,1.11272444530745
"241","20170301","Parental","B",3373,"B02",47.3786,"vemurafenib",0,1,11.7198166030181,1.29775183684531
"301","20170301","Parental","B",4584,"B02",66.3189,"vemurafenib",0,1,12.1623913287569,1.74032656258409
"361","20170301","Parental","B",4902,"B02",70.9425,"vemurafenib",0,1,12.2591547688668,1.83709000269403
"421","20170301","Parental","B",4902,"B02",71.7192,"vemurafenib",0,1,12.2591547688668,1.83709000269403
"481","20170301","Parental","B",7592,"B02",90.07,"vemurafenib",0,1,12.8902642770211,2.4681995108483
"541","20170301","Parental","B",11303,"B02",112.7814,"vemurafenib",0,1,13.4644181177386,3.04235335156575
"601","20170301","Parental","B",15710,"B02",137.1572,"vemurafenib",0,1,13.9393955601816,3.51733079400875
"661","20170301","Parental","B",18642,"B02",161.1103,"vemurafenib",0,1,14.186269026843,3.76420426067018
"721","20170301","Parental","B",19946,"B02",168.0106,"vemurafenib",0,1,14.2838118348309,3.86174706865808
"781","20170301","Parental","B",22804,"B02",188.2425,"vemurafenib",0,1,14.4769992861331,4.05493451996025
"841","20170301","Parental","B",22804,"B02",189.1347,"vemurafenib",0,1,14.4769992861331,4.05493451996025
"901","20170301","Parental","B",24107,"B02",207.7864,"vemurafenib",0,1,14.5571645052134,4.13509973904059
"961","20170301","Parental","B",20030,"B02",215.1181,"vemurafenib",0,1,14.2898748007001,3.86781003452726
"1021","20170301","Parental","B",24943,"B02",239.2256,"vemurafenib",0,1,14.6063473741811,4.18428260800828
"1081","20170301","Parental","B",21800,"B02",257.6178,"vemurafenib",0,1,14.4120405145517,3.98997574837884
"1141","20170301","Parental","B",19527,"B02",266.1728,"vemurafenib",0,1,14.2531826996101,3.83111793343724
