"","Date","CellLine","Row","Cell.Nucleus","Well","Time","drug","conc","rep","l2","nl2"
"1","20170301","Parental","B",1372,"B02",0,"vemurafenib",0,1,10.4220647661728,0
"61","20170301","Parental","B",1746,"B02",15.6414,"vemurafenib",0,1,10.7698378436294,0.347773077456628
"121","20170301","Parental","B",1944,"B02",23.0633,"vemurafenib",0,1,10.9248125036058,0.502747737432967
"181","20170301","Parental","B",2967,"B02",41.4258,"vemurafenib",0,1,11.5347892114803,1.11272444530745
"241","20170301","Parental","B",3373,"B02",47.3786,"vemurafenib",0,1,11.7198166030181,1.29775183684531
"301","20170301","Parental","B",4584,"B02",66.3189,"vemurafenib",0,1,12.1623913287569,1.74032656258409
"361","20170301","Parental","B",4902,"B02",70.9425,"vemurafenib",0,1,12.2591547688668,1.83709000269403
"421","20170301","Parental","B",4907,"B02",71.7192,"vemurafenib",0,1,12.2606255560682,1.83856078989541
"481","20170301","Parental","B",7597,"B02",90.07,"vemurafenib",0,1,12.8912141059058,2.46914933973302
"541","20170301","Parental","B",11308,"B02",112.7814,"vemurafenib",0,1,13.4650561678312,3.04299140165836
"601","20170301","Parental","B",15715,"B02",137.1572,"vemurafenib",0,1,13.9398546516861,3.5177898855133
"661","20170301","Parental","B",18647,"B02",161.1103,"vemurafenib",0,1,14.1866559224555,3.76459115628271
"721","20170301","Parental","B",19951,"B02",168.0106,"vemurafenib",0,1,14.2841734397256,3.86210867355279
"781","20170301","Parental","B",22809,"B02",188.2425,"vemurafenib",0,1,14.4773155764553,4.05525081028245
"841","20170301","Parental","B",22050,"B02",189.1347,"vemurafenib",0,1,14.4284910353322,4.00642626915943
"901","20170301","Parental","B",23353,"B02",207.7864,"vemurafenib",0,1,14.5113202745427,4.08925550836986
"961","20170301","Parental","B",19276,"B02",215.1181,"vemurafenib",0,1,14.23451808574,3.81245331956718
"1021","20170301","Parental","B",24189,"B02",239.2256,"vemurafenib",0,1,14.5620635074923,4.13999874131945
"1081","20170301","Parental","B",21046,"B02",257.6178,"vemurafenib",0,1,14.3612584404646,3.93919367429179
"1141","20170301","Parental","B",18773,"B02",266.1728,"vemurafenib",0,1,14.196371596542,3.77430683036917
